No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
2,Jasuwah Laube,OF,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/jasuwahlaubeslul,jasuwahlaubeslul,Western Tech,2022-23,div3,westerntechnicalcollege,2023
3,Brandon Stadtler,SS,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/brandonstadtler8hr2,brandonstadtler8hr2,Western Tech,2022-23,div3,westerntechnicalcollege,2023
7,Carson Johansen,OF/SS,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/carsonjohansenfp54,carsonjohansenfp54,Western Tech,2022-23,div3,westerntechnicalcollege,2023
10,Tucker Merchlewitz,2B,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/tuckermerchlewitzhru4,tuckermerchlewitzhru4,Western Tech,2022-23,div3,westerntechnicalcollege,2023
12,Tucker Francis,INF,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/tuckerfrancissc0l,tuckerfrancissc0l,Western Tech,2022-23,div3,westerntechnicalcollege,2023
14,Bronson Moet,3B,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/bronsonmoetmlqr,bronsonmoetmlqr,Western Tech,2022-23,div3,westerntechnicalcollege,2023
19,Jacob Potter,1B,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/jacobpotteraxz6,jacobpotteraxz6,Western Tech,2022-23,div3,westerntechnicalcollege,2023
23,Dale Bratz,INF/C/P,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/dalebratzrka5,dalebratzrka5,Western Tech,2022-23,div3,westerntechnicalcollege,2023
24,Bryce Butterfield,OF/C,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/brycebutterfieldbesx,brycebutterfieldbesx,Western Tech,2022-23,div3,westerntechnicalcollege,2023
29,Noah Frye,C,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/noahfryev9uz,noahfryev9uz,Western Tech,2022-23,div3,westerntechnicalcollege,2023
33,Jake Prieur,1B,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/jakeprieur1tv8,jakeprieur1tv8,Western Tech,2022-23,div3,westerntechnicalcollege,2023
38,Logan Schreiner,RHP,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/loganschreiner4lv8,loganschreiner4lv8,Western Tech,2022-23,div3,westerntechnicalcollege,2023
40,Elijah Guemez,1B/RHP,So.,https://www.njcaa.org/sports/bsb/2022-23/div3/players/elijahguemezt0x1,elijahguemezt0x1,Western Tech,2022-23,div3,westerntechnicalcollege,2023
50,Austin Fox,,Fr,https://www.njcaa.org/sports/bsb/2022-23/div3/players/austinfoxz4gh,austinfoxz4gh,Western Tech,2022-23,div3,westerntechnicalcollege,2023
51,Caden Hough,,Fr,https://www.njcaa.org/sports/bsb/2022-23/div3/players/cadenhoughdws6,cadenhoughdws6,Western Tech,2022-23,div3,westerntechnicalcollege,2023
52,Ace Padilla,,,https://www.njcaa.org/sports/bsb/2022-23/div3/players/acepadillaefph,acepadillaefph,Western Tech,2022-23,div3,westerntechnicalcollege,2023
53,Aden McClusky,,,https://www.njcaa.org/sports/bsb/2022-23/div3/players/adenmcclusky2moh,adenmcclusky2moh,Western Tech,2022-23,div3,westerntechnicalcollege,2023
54,Aiden Sanwick,,,https://www.njcaa.org/sports/bsb/2022-23/div3/players/aidensanwickl8et,aidensanwickl8et,Western Tech,2022-23,div3,westerntechnicalcollege,2023
55,Alex Lazecki,,,https://www.njcaa.org/sports/bsb/2022-23/div3/players/alexlazeckin0aw,alexlazeckin0aw,Western Tech,2022-23,div3,westerntechnicalcollege,2023
