season,njcaa_season,njcaa_division,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SF,SH,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,BAbip,ISO,RS%,HR%,K%,BB%,K-BB%,BB/K
2013,2012-13,div1,287111.0,243830.0,46998.0,71721.0,12594.0,2115.0,2961.0,40838.0,11692.0,3029.0,27967.0,43648.0,97413.0,7943.0,2782.0,4589.0,17670.0,1163.0,17488.0,16618.0,1.052,0.294,0.375,0.472,0.847,0.344,0.078,0.421,0.01,0.152,0.097,0.055,0.641
2013,2012-13,div2,188469.0,158705.0,31518.0,46489.0,7869.0,1272.0,1557.0,26526.0,8366.0,2047.0,19809.0,27502.0,61541.0,5200.0,1801.0,2954.0,10698.0,516.0,9060.0,8684.0,1.043,0.293,0.379,0.455,0.8340000000000001,0.342,0.074,0.428,0.008,0.146,0.105,0.041,0.72
2013,2012-13,div3,89335.0,75859.0,15854.0,22820.0,3821.0,673.0,552.0,13295.0,4481.0,813.0,9261.0,13285.0,29629.0,2118.0,754.0,1343.0,5046.0,51.0,3424.0,3235.0,1.058,0.301,0.383,0.457,0.8400000000000001,0.355,0.077,0.455,0.006,0.149,0.104,0.045,0.697
2014,2013-14,div1,318913.0,271234.0,52792.0,80266.0,14148.0,2297.0,3707.0,45763.0,12070.0,3226.0,30953.0,49528.0,110107.0,8613.0,3263.0,4850.0,20152.0,936.0,20042.0,18799.0,1.066,0.296,0.376,0.48,0.856,0.346,0.078,0.423,0.012,0.155,0.097,0.058,0.625
2014,2013-14,div2,194144.0,163990.0,33494.0,48992.0,8620.0,1432.0,1914.0,27930.0,8676.0,2174.0,19780.0,28842.0,66170.0,5377.0,1898.0,3099.0,11966.0,347.0,9715.0,9194.0,1.057,0.299,0.382,0.477,0.859,0.348,0.079,0.437,0.01,0.149,0.102,0.047,0.686
2014,2013-14,div3,90448.0,76729.0,16079.0,23003.0,4008.0,672.0,645.0,13336.0,4289.0,895.0,9310.0,13931.0,30281.0,2333.0,759.0,1317.0,5325.0,66.0,4424.0,3863.0,1.145,0.3,0.383,0.464,0.847,0.355,0.079,0.454,0.007,0.154,0.103,0.051,0.668
2015,2014-15,div1,314154.0,266824.0,52839.0,79652.0,14247.0,2243.0,4338.0,46192.0,11421.0,3244.0,31586.0,49846.0,111373.0,7951.0,3138.0,4655.0,20828.0,2820.0,18239.0,17000.0,1.073,0.299,0.379,0.496,0.875,0.349,0.079,0.422,0.014,0.159,0.101,0.058,0.634
2015,2014-15,div2,202493.0,171522.0,36154.0,52096.0,9448.0,1571.0,2503.0,30742.0,9117.0,2291.0,20984.0,31044.0,72176.0,5328.0,1942.0,2717.0,13522.0,1409.0,7821.0,7229.0,1.082,0.304,0.387,0.5,0.887,0.354,0.083,0.443,0.012,0.153,0.104,0.049,0.676
2015,2014-15,div3,94238.0,80032.0,16708.0,24224.0,4300.0,632.0,839.0,13871.0,4306.0,869.0,9692.0,14496.0,32297.0,2388.0,738.0,1388.0,5771.0,479.0,4075.0,3632.0,1.122,0.303,0.385,0.476,0.861,0.357,0.077,0.447,0.009,0.154,0.103,0.051,0.669
2016,2015-16,div1,338316.0,285540.0,63295.0,88099.0,16610.0,2597.0,6890.0,55228.0,12236.0,3345.0,36070.0,57998.0,130553.0,9341.0,3179.0,4186.0,26097.0,2913.0,19469.0,17423.0,1.117,0.309,0.395,0.549,0.9440000000000001,0.363,0.085,0.445,0.02,0.171,0.107,0.064,0.622
