season,njcaa_division,team,team_id,location,opponent,result,score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2018,div1,ASA New York,asabrooklynavengers,home,Dutchess,W,6-0,20180317_d3tk,11,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,,1.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,Dutchess,W,7-5,20180317_l4c2,13,1.0,1.0,0.0,1.0,0.5,4.0,5.0,3.0,0.6,1.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,Glen Oaks,W,10-0,20180308_s64r,12,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,,1.0,5.0
2018,div1,ASA New York,asabrooklynavengers,home,Glen Oaks,W,8-1,20180308_nzia,12,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,5.0
2018,div1,ASA New York,asabrooklynavengers,home,Harford,L,17-15,20180428_05g5,11,1.0,0.0,1.0,0.0,1.0,14.0,17.0,9.0,0.529,4.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,Harford,L,19-4,20180428_ww4o,16,1.0,0.0,1.0,0.0,1.0,13.0,19.0,17.0,0.895,6.0,4.0
2018,div1,ASA New York,asabrooklynavengers,home,Harford,W,9-5,20180517_xv38,14,1.0,1.0,0.0,1.0,0.5,8.0,5.0,4.0,0.8,4.0,9.0
2018,div1,ASA New York,asabrooklynavengers,home,Lackawanna,L,17-12,20180422_k9if,18,1.0,0.0,0.0,0.0,,13.0,17.0,9.0,0.529,9.0,9.0
2018,div1,ASA New York,asabrooklynavengers,home,Lackawanna,W,13-11,20180504_okar,15,1.0,1.0,0.0,1.0,0.5,9.0,10.0,7.0,0.7,10.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,Lackawanna,W,13-4,20180422_elxv,13,1.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,6.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,Lansing,L,14-13,20180304_6tpt,13,1.0,0.0,1.0,0.0,1.0,14.0,14.0,5.0,0.357,8.0,3.0
2018,div1,ASA New York,asabrooklynavengers,home,Lincoln,L,7-6,20180305_hlet,13,1.0,0.0,1.0,0.0,1.0,5.0,7.0,3.0,0.429,6.0,13.0
2018,div1,ASA New York,asabrooklynavengers,home,Lincoln,W,4-2,20180305_zzeb,12,1.0,1.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,1.0,9.0
2018,div1,ASA New York,asabrooklynavengers,home,Lincoln Land,W,4-2,20180303_4xl8,10,1.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,0.5,2.0,6.0
2018,div1,ASA New York,asabrooklynavengers,home,Lincoln Land,W,6-1,20180303_b2sr,11,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0
2018,div1,ASA New York,asabrooklynavengers,home,Mercer County,L,18-2,20180420_zxcj,17,1.0,0.0,1.0,0.0,1.0,7.0,18.0,8.0,0.444,12.0,0.0
2018,div1,ASA New York,asabrooklynavengers,home,Mercer County,L,8-2,20180329_xn21,15,1.0,0.0,1.0,0.0,1.0,8.0,8.0,3.0,0.375,9.0,7.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,L,10-1,20180511_pb1d,20,1.0,0.0,1.0,0.0,1.0,9.0,10.0,4.0,0.4,3.0,10.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,L,4-3,20180406_c8of,12,1.0,0.0,1.0,0.0,1.0,10.0,4.0,3.0,0.75,3.0,10.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,L,4-3,20180510_x6gj,11,1.0,0.0,1.0,0.0,1.0,5.0,4.0,3.0,0.75,4.0,15.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,L,5-0,20180508_ow55,14,1.0,0.0,1.0,0.0,1.0,9.0,5.0,4.0,0.8,1.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,L,6-1,20180412_ue27,16,1.0,0.0,1.0,0.0,1.0,11.0,6.0,3.0,0.5,4.0,9.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,L,7-3,20180407_cfg0,17,1.0,0.0,1.0,0.0,1.0,6.0,7.0,7.0,1.0,7.0,4.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,L,8-1,20180520_i4f2,18,1.0,0.0,1.0,0.0,1.0,10.0,8.0,8.0,1.0,7.0,8.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,L,8-3,20180407_2i8e,13,1.0,0.0,1.0,0.0,1.0,7.0,8.0,7.0,0.875,8.0,13.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,W,10-1,20180426_wjaq,14,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,W,13-1,20180406_2xd3,10,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,Monroe College,W,4-3,20180412_bo8n,14,1.0,1.0,0.0,1.0,0.5,3.0,3.0,3.0,1.0,7.0,17.0
2018,div1,ASA New York,asabrooklynavengers,home,Morris,W,10-6,20180505_a7ux,16,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,,0.0,3.0
2018,div1,ASA New York,asabrooklynavengers,home,Morris,W,8-1,20180503_1k77,15,1.0,1.0,0.0,0.0,1.0,8.0,2.0,2.0,1.0,4.0,12.0
2018,div1,ASA New York,asabrooklynavengers,home,Morris,W,8-5,20180505_6mm6,13,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0
2018,div1,ASA New York,asabrooklynavengers,home,Nassau,W,14-2,20180326_1h2g,14,1.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,3.0,8.0
2018,div1,ASA New York,asabrooklynavengers,home,Nassau,W,16-3,20180331_icza,19,1.0,1.0,0.0,0.0,1.0,5.0,3.0,1.0,0.333,2.0,11.0
2018,div1,ASA New York,asabrooklynavengers,home,St. Cloud Tech,W,8-2,20180307_c6xv,11,1.0,1.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,0.0,17.0
2018,div1,ASA New York,asabrooklynavengers,home,Triton,L,4-0,20180309_t69n,13,1.0,0.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,5.0,7.0
2018,div1,ASA New York,asabrooklynavengers,home,Triton,W,2-1,20180309_5n3b,13,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,2.0,9.0
2018,div1,ASA New York,asabrooklynavengers,home,USC Sumter,L,9-1,20180517_1652,11,1.0,0.0,1.0,0.0,1.0,10.0,9.0,9.0,1.0,2.0,10.0
2018,div1,ASA New York,asabrooklynavengers,home,USC Sumter,W,6-3,20180518_oi76,13,1.0,1.0,0.0,1.0,0.5,4.0,3.0,3.0,1.0,7.0,9.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,L,10-6,20180405_n33g,16,1.0,0.0,1.0,0.0,1.0,12.0,10.0,5.0,0.5,8.0,10.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,L,6-5,20180501_g3oq,18,1.0,0.0,1.0,0.0,1.0,8.0,6.0,6.0,1.0,12.0,10.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,W,10-1,20180406_2qyy,15,1.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,4.0,12.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,W,6-5,20180403_ziif,14,1.0,1.0,0.0,1.0,0.5,9.0,5.0,2.0,0.4,3.0,10.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Andrew,W,7-2,20180406_yhob,11,1.0,1.0,0.0,0.0,1.0,9.0,2.0,2.0,1.0,1.0,10.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,East Georgia State,L,14-9,20180412_z72k,14,1.0,0.0,1.0,0.0,1.0,17.0,14.0,13.0,0.929,2.0,7.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,East Georgia State,L,6-2,20180414_pi34,11,1.0,0.0,1.0,0.0,1.0,9.0,6.0,4.0,0.667,1.0,7.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,East Georgia State,L,7-5,20180414_a3nc,13,1.0,0.0,1.0,0.0,1.0,5.0,7.0,7.0,1.0,9.0,4.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,East Georgia State,L,8-3,20180503_wopl,14,1.0,0.0,1.0,0.0,1.0,10.0,8.0,5.0,0.625,4.0,7.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,East Georgia State,L,9-5,20180410_eve6,15,1.0,0.0,1.0,0.0,1.0,12.0,9.0,8.0,0.889,2.0,9.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,East Georgia State,W,11-2,20180509_y1sk,13,1.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,2.0,8.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Emmanuel College JV,W,10-1,20180208_ximd,11,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,11.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Emmanuel College JV,W,7-2,20180208_2l7p,12,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.5,1.0,14.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Florida State Jacksonville,L,2-1,20180219_5104,14,1.0,0.0,1.0,0.0,1.0,5.0,2.0,2.0,1.0,2.0,9.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Florida State Jacksonville,L,3-0,20180210_m0ui,12,1.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,0.333,3.0,5.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Florida State Jacksonville,W,5-4,20180210_sgbq,12,1.0,1.0,0.0,1.0,0.5,4.0,4.0,3.0,0.75,6.0,3.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Georgia Highlands,L,11-4,20180309_a2rc,19,1.0,0.0,1.0,0.0,1.0,11.0,11.0,7.0,0.636,11.0,7.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Georgia Highlands,L,14-1,20180307_euw4,13,1.0,0.0,1.0,0.0,1.0,14.0,14.0,8.0,0.571,6.0,6.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Georgia Highlands,L,4-2,20180310_bsst,14,1.0,0.0,1.0,0.0,1.0,8.0,4.0,0.0,0.0,2.0,3.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Georgia Highlands,L,9-7,20180326_oeei,13,1.0,0.0,1.0,0.0,1.0,18.0,9.0,9.0,1.0,4.0,9.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Georgia Highlands,W,6-5,20180310_u383,17,1.0,1.0,0.0,0.0,1.0,7.0,5.0,4.0,0.8,6.0,6.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,L,11-1,20180317_ogip,14,1.0,0.0,1.0,0.0,1.0,11.0,11.0,7.0,0.636,3.0,5.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,L,4-2,20180315_xo7k,15,1.0,0.0,1.0,0.0,1.0,10.0,4.0,4.0,1.0,5.0,6.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,12-3,20180313_w7m2,16,1.0,1.0,0.0,1.0,0.5,5.0,3.0,1.0,0.333,8.0,10.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,17-5,20180315_ybnb,13,1.0,1.0,0.0,0.0,1.0,10.0,5.0,5.0,1.0,4.0,4.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,9-4,20180328_mi7c,12,1.0,1.0,0.0,0.0,1.0,8.0,4.0,2.0,0.5,1.0,9.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Santa Fe,L,2-1,20180131_j94g,13,1.0,0.0,1.0,0.0,1.0,6.0,2.0,1.0,0.5,2.0,10.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Santa Fe,L,4-2,20180224_gf3e,11,1.0,0.0,1.0,0.0,1.0,10.0,4.0,3.0,0.75,4.0,0.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Santa Fe,L,7-6,20180224_bpfb,14,1.0,0.0,1.0,0.0,1.0,9.0,7.0,6.0,0.857,2.0,5.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,L,10-9,20180322_nlyf,12,1.0,0.0,1.0,0.0,1.0,10.0,10.0,5.0,0.5,5.0,4.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,L,5-2,20180323_gchc,11,1.0,0.0,1.0,0.0,1.0,9.0,5.0,3.0,0.6,2.0,5.0
2018,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,W,10-1,20180510_h421,11,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0
