season,njcaa_division,team,team_id,location,opponent,result,score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2017,div1,ASA New York,asabrooklynavengers,home,Bronx,W,10-4,20170413_ptii,16,1.0,1.0,0.0,0.0,1.0,5.0,4.0,3.0,0.75,5.0,12.0
2017,div1,ASA New York,asabrooklynavengers,home,CCBC Dundalk,W,4-2,20170302_y222,14,1.0,1.0,0.0,0.0,1.0,6.0,2.0,1.0,0.5,1.0,8.0
2017,div1,ASA New York,asabrooklynavengers,home,Camden County,W,12-7,20170418_86g6,18,1.0,1.0,0.0,0.0,1.0,8.0,7.0,5.0,0.714,4.0,9.0
2017,div1,ASA New York,asabrooklynavengers,home,Frederick,L,14-4,20170301_fvhj,14,1.0,0.0,1.0,0.0,1.0,5.0,6.0,6.0,1.0,3.0,3.0
2017,div1,ASA New York,asabrooklynavengers,home,Frederick,L,2-0,20170301_a2g9,14,1.0,0.0,1.0,0.0,1.0,5.0,2.0,1.0,0.5,5.0,10.0
2017,div1,ASA New York,asabrooklynavengers,home,Harford,L,10-3,20170419_2m6b,13,1.0,0.0,1.0,0.0,1.0,10.0,10.0,7.0,0.7,5.0,8.0
2017,div1,ASA New York,asabrooklynavengers,home,Harford,L,14-4,20170429_tvzt,16,1.0,0.0,1.0,0.0,1.0,10.0,14.0,11.0,0.786,7.0,8.0
2017,div1,ASA New York,asabrooklynavengers,home,Harford,L,4-3,20170429_em90,12,1.0,0.0,1.0,0.0,1.0,6.0,4.0,4.0,1.0,4.0,6.0
2017,div1,ASA New York,asabrooklynavengers,home,Jackson,L,6-5,20170302_3eou,12,1.0,0.0,1.0,0.0,1.0,6.0,6.0,2.0,0.333,4.0,12.0
2017,div1,ASA New York,asabrooklynavengers,home,Jackson,L,7-3,20170303_6hin,11,1.0,0.0,1.0,0.0,1.0,8.0,7.0,6.0,0.857,4.0,4.0
2017,div1,ASA New York,asabrooklynavengers,home,Kalamazoo Valley,W,13-10,20170307_13gr,12,1.0,1.0,0.0,0.0,1.0,14.0,10.0,8.0,0.8,2.0,5.0
