season,njcaa_division,team,team_id,location,opponent,result,score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,14-13,20230510_2qu3,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,15-6,20230422_77p0,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,19-7,20230420_8b5s,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Gordon State,W,6-4,20230504_506s,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Harford,L,20-2,20230416_s0f3,13,0.0,0.0,0.0,0.0,,26.0,91.0,91.0,1.0,39.0,13.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Jackson,W,17-0,20230309_q5gi,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Jackson,W,5-4,20230309_1xkc,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,LSU Eunice,L,14-4,20230212_itr2,13,0.0,0.0,0.0,0.0,,0.0,13.0,13.0,1.0,13.0,39.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Lackawanna,W,15-13,20230411_zns5,13,0.0,0.0,0.0,0.0,,52.0,52.0,52.0,1.0,52.0,26.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Morris,L,12-11,20230418_wbr9,13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,39.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,RCSJ Cumberland,W,6-5,20230328_xtv6,13,0.0,0.0,0.0,0.0,,26.0,0.0,0.0,,13.0,26.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Roane State,W,9-1,20230204_2wxu,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Roane State,W,9-1,20230205_qqd4,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Rockland,W,17-1,20230402_nitj,13,13.0,13.0,0.0,0.0,1.0,65.0,13.0,13.0,1.0,13.0,117.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Rockland,W,7-5,20230309_s7s9,13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Santa Fe,L,10-3,20230216_d657,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Santa Fe,L,14-4,20230301_n36r,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Scoutz Post Grad,W,13-1,20230317_2yqn,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Scoutz Post Grad,W,4-3,20230317_9uk3,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,L,10-6,20230405_fqxo,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,L,12-6,20230404_v078,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,L,16-4,20230429_q4di,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,W,19-8,20230510_ak47,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,W,2-0,20230406_19o2,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
