date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 29,home,USC Lancaster,W,7-6,7,6,1,win,20240329_9j4e,1,0,0,0,4.0,3,2,1,2.25,1.00,1,5,2024,2023-24,div1,Florence-Darlington Tech,florencedarlingtontechnicalcollege,trentonburnetthfd9,Trenton Burnett
Mar 24,home,USC Sumter,W,8-4,8,4,4,win,20240324_eyvo,1,1,0,0,3.0,1,0,0,0.00,.67,1,5,2024,2023-24,div1,Florence-Darlington Tech,florencedarlingtontechnicalcollege,trentonburnetthfd9,Trenton Burnett
Feb 3,home,Chipola,L,2-1,2,1,1,win,20240203_nb3y,1,0,0,0,1.1,1,0,0,0.00,1.50,1,1,2024,2023-24,div1,Florence-Darlington Tech,florencedarlingtontechnicalcollege,trentonburnetthfd9,Trenton Burnett
