date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 17,home,Cairn University,W,18-8,18,8,10,win,20230317_4wl8,0,0,0,0,1.2,2,1,1,5.40,2,1,,2023,2022-23,div2,Sussex County,sussexcountycommunitycollege,jacobliscinskywq3d,Jacob Liscinsky
Mar 14,home,Montgomery,W,10-8,10,8,2,win,20230314_1ug0,0,0,0,1,1.2,3,1,,0.00,,1,,2023,2022-23,div2,Sussex County,sussexcountycommunitycollege,jacobliscinskywq3d,Jacob Liscinsky
Mar 10,home,Raritan Valley,W,8-3,8,3,5,win,20230310_n8e3,0,0,0,0,0.2,,,,0.00,,1,,2023,2022-23,div2,Sussex County,sussexcountycommunitycollege,jacobliscinskywq3d,Jacob Liscinsky
Mar 4,home,CCBC Catonsville,W,10-5,10,5,5,win,20230304_e8r0,0,0,0,0,0.2,1,1,1,13.50,2,,,2023,2022-23,div2,Sussex County,sussexcountycommunitycollege,jacobliscinskywq3d,Jacob Liscinsky
