date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 12,home,Dallas College - Richland,L,13-9,13,9,4,win,20240312_g5pt,0,0,0,0,0.2,4,3,3,40.50,7.50,1,1,2024,2023-24,div2,Redlands,redlandscommunitycollege,bretttreaseg52e,Brett Trease
Mar 2,home,Northern Oklahoma Tonkawa,L,20-6,20,6,14,win,20240302_a06g,0,0,0,0,2.1,1,2,2,7.71,1.71,3,3,2024,2023-24,div2,Redlands,redlandscommunitycollege,bretttreaseg52e,Brett Trease
Feb 17,home,Lewis & Clark,L,24-12,24,12,12,win,20240217_oqey,0,0,0,0,2.0,6,2,2,9.00,3.00,,3,2024,2023-24,div2,Redlands,redlandscommunitycollege,bretttreaseg52e,Brett Trease
