date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 17,away,Union,W,15-3,15,15,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Feb 17,away,Union,W,17-5,17,17,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Feb 27,away,Anne Arundel,W,13-1,13,13,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Feb 27,home,vs. Brunswick,W,12-0,12,12,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Feb 28,home,vs. Garrett,W,12-1,12,12,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Feb 28,home,vs. CCBC Dundalk,W,16-3,16,16,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Feb 29,home,vs. CCBC Dundalk,W,16-1,16,16,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Feb 29,home,vs. Monroe CC,W,14-4,14,14,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 1,home,vs. Rowan Burlington,W,15-7,15,15,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 1,home,vs. Rowan Burlington,W,9-6,9,9,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 2,home,vs. Monroe CC,L,10-9,10,10,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 2,home,vs. Mercyhurst North East,W,11-3,11,11,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 5,away,Lake Land,W,18-2,18,18,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 7,home,Lake Land,W,6-1,6,6,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 7,home,Lake Land,W,3-1,3,3,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 11,away,Vincennes,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 12,home,Shawnee,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 14,away,Shawnee,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 14,away,Shawnee,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 16,away,Kentucky Wesleyan,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 18,home,Vincennes,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 20,home,vs. Ivy Tech Fort Wayne,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 20,home,vs. Ivy Tech Fort Wayne,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 21,home,vs. Ivy Tech Fort Wayne,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 21,home,vs. Ivy Tech Fort Wayne,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 23,away,Brescia,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 24,away,Rend Lake,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 26,home,Southeastern Illinois,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 28,away,Southeastern Illinois,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 28,away,Southeastern Illinois,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 30,away,Lindenwood,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 31,home,Rend Lake,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
Mar 31,home,Rend Lake,,,,,,,,,,,,,,,,,2020,2019-20,div1,Olney Central,olneycentralcollege,rafaelayala0gs6,Rafael Ayala
