date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 1,home,Walters State,,,,,,,,,,,,,,,,,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 2,home,Walters State,L,3-1,3,3,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 2,home,East Georgia State,L,4-2,4,4,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 8,home,Rockingham,L,3-0,3,3,,,,,,,,,,,,,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 8,home,Rockingham,W,3-2,3,3,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 9,home,Rockingham,W,8-5,8,8,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 12,home,Newberry College,,,,,,,,,,,,,,,,,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 12,home,Newberry College,,,,,,,,,,,,,,,,,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 15,home,USC Lancaster,W,11-10,11,11,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 15,home,USC Lancaster,W,2-0,2,2,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
Feb 16,home,USC Lancaster,W,4-3,4,4,0,0,0,0,0.0,0,0,0,0.00,0,0,0,2014,2013-14,div1,USC Salkehatchie,uscsalkehatchie,hunterdilworthjkwr,Hunter Dilworth
