date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 19,home,Lincoln Land,L,7-6,7,6,1,win,20230419_flp2,0,0,0,0,0.1,,,,0.00,,,,2023,2022-23,div1,Lake Land,lakelandcollege,sethhotzefkwy,Seth Hotze
Apr 18,home,Southwestern Illinois,L,10-9,10,9,1,win,20230418_aq2u,0,0,1,0,0.2,1,1,1,13.50,2,1,,2023,2022-23,div1,Lake Land,lakelandcollege,sethhotzefkwy,Seth Hotze
Apr 12,home,Lincoln Land,L,12-3,12,3,9,win,20230412_jh0a,0,0,0,0,1.0,3,2,2,18.00,,1,,2023,2022-23,div1,Lake Land,lakelandcollege,sethhotzefkwy,Seth Hotze
Mar 30,home,Wabash Valley,L,26-3,26,3,23,win,20230330_cm50,0,0,0,0,1.0,5,5,5,45.00,,,,2023,2022-23,div1,Lake Land,lakelandcollege,sethhotzefkwy,Seth Hotze
Mar 27,home,Olney Central,L,6-1,6,1,5,win,20230327_5qgk,0,0,0,0,1.0,2,,,0.00,,,,2023,2022-23,div1,Lake Land,lakelandcollege,sethhotzefkwy,Seth Hotze
Mar 15,home,Danville Area,W,11-10,11,10,1,win,20230315_xcbk,0,1,0,0,1.1,1,,,0.00,,1,,2023,2022-23,div1,Lake Land,lakelandcollege,sethhotzefkwy,Seth Hotze
Feb 26,home,Parkland,L,10-2,10,2,8,win,20230226_ubba,0,0,0,0,0.2,3,1,1,13.50,1,1,,2023,2022-23,div1,Lake Land,lakelandcollege,sethhotzefkwy,Seth Hotze
Feb 19,home,Iowa Central,L,9-3,9,3,6,win,20230219_1ivu,0,0,0,0,2.0,,,,0.00,1,3,,2023,2022-23,div1,Lake Land,lakelandcollege,sethhotzefkwy,Seth Hotze
