date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 11,home,Southeastern-Whiteville,W,7-6,7,6,1.0,win,20150411_qeg8,0,1,0,0,3.0,2,,,0.00,,3,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 11,home,Southeastern-Whiteville,W,6-3,6,3,3.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 12,home,Southeastern-Whiteville,W,6-4,6,4,2.0,win,20150412_s7bh,0,1,0,0,3.2,4,1,1,2.45,1,4,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 15,home,Louisburg,W,8-4,8,4,4.0,win,20150415_xxbz,0,0,0,0,1.1,,1,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 18,home,Lenoir,W,3-0,3,0,3.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 18,home,Lenoir,W,11-1,11,1,10.0,win,20150418_x1e9,0,0,0,0,0.0,,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 19,home,Lenoir,W,2-0,2,0,2.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 25,home,Brunswick,L,8-3,8,3,5.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 25,home,Brunswick,,,,,5.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
Apr 26,home,Brunswick,,,,,5.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
May 2,home,Catawba Valley,L,12-3,12,3,9.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
May 2,home,Catawba Valley,W,7-5,7,5,2.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
May 3,home,Catawba Valley,L,6-4,6,4,2.0,win,20150503_s2ro,0,0,0,0,1.0,,,,0.00,,1,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
May 8,home,Brunswick,L,3-2,3,2,1.0,win,20150508_0op2,0,0,0,0,2.0,2,1,1,4.50,1,1,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
May 9,home,Southeastern-Whiteville,W,5-4,5,4,1.0,win,20150509_664l,0,1,0,0,0.1,,,,0.00,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
May 12,home,Patrick & Henry,L,10-0,10,0,10.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Wake Tech,waketechnicalcommunitycollege,treydavisgwhl,Trey Davis
