date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 25,home,South Mountain,L,22-7,22,7,15,win,20230225_6v2d,1,0,0,0,1.2,7,7,7,37.80,2,3,1,2023,2022-23,div1,Yavapai,yavapaicollege,tommygroomp2p1,Tommy Groom
Feb 18,home,Cochise,W,6-4,6,4,2,win,20230218_u448,1,0,0,0,4.2,2,2,0,0.00,6,5,,2023,2022-23,div1,Yavapai,yavapaicollege,tommygroomp2p1,Tommy Groom
Feb 14,home,Pima,L,3-2,3,2,1,win,20230214_z0zx,0,0,0,0,0.2,,,,0.00,1,1,,2023,2022-23,div1,Yavapai,yavapaicollege,tommygroomp2p1,Tommy Groom
Feb 9,home,Scottsdale Post Grad,W,8-2,8,2,6,win,20230209_zb02,0,0,0,0,1.0,,,,0.00,,1,,2023,2022-23,div1,Yavapai,yavapaicollege,tommygroomp2p1,Tommy Groom
Feb 3,home,New Mexico,L,5-2,5,2,3,win,20230203_e7yw,0,0,0,0,1.0,1,2,1,9.00,1,1,,2023,2022-23,div1,Yavapai,yavapaicollege,tommygroomp2p1,Tommy Groom
