date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 19,home,Terra State,W,7-5,7,5,2,win,20230319_b9wb,1,1,0,0,6.1,9,5,5,7.11,5,6,,2023,2022-23,div2,Edison State,edisoncommunitycollege,prestonheintzmandwnr,Preston Heintzman
Mar 6,home,St. Clair County,W,4-3,4,3,1,win,20230306_c8zs,1,0,0,0,5.0,7,3,2,3.60,2,5,,2023,2022-23,div2,Edison State,edisoncommunitycollege,prestonheintzmandwnr,Preston Heintzman
Mar 1,home,Ivy Tech Fort Wayne,W,6-5,6,5,1,win,20230301_k9wj,1,0,0,0,5.1,8,4,2,3.38,1,0,3,2023,2022-23,div2,Edison State,edisoncommunitycollege,prestonheintzmandwnr,Preston Heintzman
Feb 24,home,Chattanooga State,L,24-0,24,0,24,win,20230224_f81l,1,0,1,0,2.0,8,9,6,27.00,2,0,,2023,2022-23,div2,Edison State,edisoncommunitycollege,prestonheintzmandwnr,Preston Heintzman
