date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 18,home,Colo. State Club,W,10-2,10,2,8,win,20240218_rxo7,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Trinidad State,trinidadstatecollege,vinnymilleryrr6,Vinny Miller
Feb 18,home,Colo. State Club,W,10-9,10,9,1,win,20240218_r5b9,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Trinidad State,trinidadstatecollege,vinnymilleryrr6,Vinny Miller
Feb 18,home,Colo. State Club,W,7-6,7,6,1,win,20240218_4beh,0,0,0,0,0.1,5,3,3,81.00,18.00,1,,2024,2023-24,div1,Trinidad State,trinidadstatecollege,vinnymilleryrr6,Vinny Miller
Feb 10,home,Midland,L,18-2,18,2,16,win,20240210_egtu,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Trinidad State,trinidadstatecollege,vinnymilleryrr6,Vinny Miller
Feb 9,home,Midland,L,6-5,6,5,1,win,20240209_gymv,0,0,0,0,1.2,5,3,3,16.20,3.00,,2,2024,2023-24,div1,Trinidad State,trinidadstatecollege,vinnymilleryrr6,Vinny Miller
Feb 4,home,Yavapai,L,15-2,15,2,13,win,20240204_t4aa,0,0,0,0,1.1,2,2,1,6.75,2.25,1,,2024,2023-24,div1,Trinidad State,trinidadstatecollege,vinnymilleryrr6,Vinny Miller
Feb 3,home,Pima,L,6-2,6,2,4,win,20240203_683j,0,0,0,0,0.0,,,,0.00,,,,2024,2023-24,div1,Trinidad State,trinidadstatecollege,vinnymilleryrr6,Vinny Miller
Feb 3,home,GateWay (AZ),W,8-3,8,3,5,win,20240203_u8og,0,0,0,1,2.0,,,,0.00,,,5,2024,2023-24,div1,Trinidad State,trinidadstatecollege,vinnymilleryrr6,Vinny Miller
