date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 27,home,Central Arizona,W,4-3,4,3,1,win,20230127_b853,0,0,0,0,0.2,2,,,0.00,,,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
Jan 28,home,Arizona Western,W,16-6,16,6,10,win,20230128_kci0,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
Feb 3,home,New Mexico,W,5-4,5,4,1,win,20230203_beco,0,0,0,0,1.0,3,1,1,9.00,1,,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
Feb 10,home,South Mountain,W,11-10,11,10,1,win,20230210_ncuq,0,0,0,0,1.1,3,1,1,6.75,,,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
Feb 20,home,Prairie Baseball Academy,W,14-2,14,2,12,win,20230220_8lah,0,0,0,0,2.0,1,1,1,4.50,1,2,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
Mar 3,home,Salt Lake,L,8-1,8,1,7,win,20230303_9wby,0,0,0,0,0.2,,,,0.00,2,1,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
Apr 10,home,Salt Lake,L,5-2,5,2,3,win,20230410_ojub,0,0,0,0,0.2,1,,,0.00,1,,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
Apr 29,home,Colorado Northwestern,W,13-6,13,6,7,win,20230429_dadz,0,0,0,0,1.1,4,2,2,13.50,1,,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
May 6,home,Utah State Eastern,W,18-1,18,1,17,win,20230506_o1m2,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,div1,Southern Nevada,collegeofsouthernnevada,tylerraydryk,Tyler Ray
