date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 29,away,Dallas College - Eastfield,L,10-3,10,10,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Jan 29,away,Dallas College - Eastfield,L,11-6,11,11,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 5,away,Dallas College - Cedar Valley,,,,,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 5,away,Dallas College - Cedar Valley,,,,,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 7,away,Dallas College - Richland,W,17-7,17,17,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 7,away,Dallas College - Richland,W,11-6,11,11,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 11,away,Redlands,W,13-8,13,13,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 12,away,Redlands,W,13-6,13,13,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 12,away,Redlands,W,14-3,14,14,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 18,away,Midland,L,3-2,3,3,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 18,away,Midland,L,14-12,14,14,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 19,away,Odessa,L,12-11,12,12,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 19,away,Odessa,L,14-4,14,14,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 21,home,vs. Northern Oklahoma Tonkawa,L,9-8,9,9,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 28,away,Seward County,L,9-3,9,9,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Feb 28,away,Seward County,W,14-3,14,14,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Mar 1,away,Seward County,W,13-2,13,13,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Mar 5,away,Frank Phillips,W,10-3,10,10,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
Mar 5,away,Frank Phillips,L,14-10,14,14,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,zakskinnersn7w,Zak Skinner
