date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 2,home,State College of Florida,L,10-9,10,9,1,win,20240202_f1p2,0,0,0,0,1.1,2,1,,0.00,1.50,,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Feb 9,home,Blinn,W,9-8,9,8,1,win,20240209_rij8,0,0,0,0,1.0,,2,1,9.00,1.00,1,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Feb 16,home,Blinn,W,5-4,5,4,1,win,20240216_0jk1,0,0,0,1,2.0,1,,,0.00,.50,,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Feb 23,home,Hutchinson,W,4-1,4,1,3,win,20240223_u998,0,0,0,1,2.0,1,1,1,4.50,.50,,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Mar 2,home,Navarro,L,5-4,5,4,1,win,20240302_zd14,0,0,0,0,1.0,,,,0.00,,,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Mar 6,home,Vernon,W,7-1,7,1,6,win,20240306_v4wq,0,0,0,1,3.0,1,,,0.00,.33,,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Mar 13,home,North Central Texas,W,12-0,12,0,12,win,20240313_4gs3,1,1,0,0,6.0,1,0,0,0.00,.33,1,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Mar 20,home,Temple,W,10-3,10,3,7,win,20240320_qphs,1,1,0,0,5.0,3,3,0,0.00,1.20,3,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Mar 27,home,Cisco,L,6-0,6,0,6,win,20240327_4cik,1,0,1,0,5.0,9,5,5,9.00,1.80,0,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Apr 3,home,Grayson,W,7-5,7,5,2,win,20240403_wd06,1,0,0,0,4.0,3,4,1,2.25,1.25,2,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
Apr 11,home,Ranger,W,7-1,7,1,6,win,20240411_14vu,1,0,0,0,4.2,3,1,1,1.93,1.29,3,2024,2023-24,div1,McLennan,mclennancommunitycollege,claytonfreshcornqcgd,Clayton Freshcorn
