date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 29,away,Dallas College - Eastfield,L,10-3,10,10,0,0,1,0,0.2,1,3,3,40.50,2,1,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Jan 29,away,Dallas College - Eastfield,L,11-6,11,11,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 5,away,Dallas College - Cedar Valley,,,,,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 5,away,Dallas College - Cedar Valley,,,,,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 7,away,Dallas College - Richland,W,17-7,17,17,0,0,0,0,0.0,,,,0.00,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 7,away,Dallas College - Richland,W,11-6,11,11,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 11,away,Redlands,W,13-8,13,13,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 12,away,Redlands,W,13-6,13,13,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 12,away,Redlands,W,14-3,14,14,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 18,away,Midland,L,3-2,3,3,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 18,away,Midland,L,14-12,14,14,0,0,0,0,3.1,1,,,0.00,3,3,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 19,away,Odessa,L,12-11,12,12,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 19,away,Odessa,L,14-4,14,14,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 21,home,vs. Northern Oklahoma Tonkawa,L,9-8,9,9,1,0,0,0,2.0,2,2,2,9.00,2,2,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 28,away,Seward County,L,9-3,9,9,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Feb 28,away,Seward County,W,14-3,14,14,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 1,away,Seward County,W,13-2,13,13,1,1,0,0,6.0,4,1,1,1.50,0,6,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 5,away,Frank Phillips,W,10-3,10,10,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 5,away,Frank Phillips,L,14-10,14,14,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 9,home,Cisco,L,4-3,4,4,0,0,1,0,2.1,4,2,2,7.71,,1,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 9,home,Cisco,W,5-2,5,5,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 12,away,Cisco,W,15-1,15,15,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 12,away,Cisco,L,9-8,9,9,1,0,0,0,2.0,2,4,1,4.50,0,0,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 16,home,Grayson,L,16-4,16,16,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 16,home,Grayson,L,16-4,16,16,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 19,away,Grayson,L,11-1,11,11,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 19,away,Grayson,L,13-2,13,13,0,0,0,0,0.2,1,4,4,54.00,3,1,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 21,home,vs. Northern Oklahoma Tonkawa,,,,,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 23,away,Ranger,L,14-4,14,14,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 23,away,Ranger,L,7-6,7,7,1,0,0,0,6.1,4,5,4,5.68,3,1,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 26,home,Ranger,L,9-8,9,9,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 26,home,Ranger,L,11-8,11,11,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 30,home,Hill,W,8-3,8,8,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Mar 30,home,Hill,L,7-0,7,7,1,0,1,0,4.0,4,5,4,9.00,4,3,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Apr 2,away,Hill,L,8-7,8,8,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Apr 2,away,Hill,L,19-6,19,19,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Apr 6,away,McLennan,W,6-4,6,6,0,0,0,1,1.2,2,,,0.00,,1,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
Apr 6,away,McLennan,L,8-0,8,8,,,,,,,,,,,,2022,2021-22,div1,Vernon,vernoncollege,angeldiazkhma,Angel Diaz
