date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 19,home,Lenoir,L,5-3,5,3,2,win,20230219_g7g7,1,0,1,0,6.0,4,4,4,6.00,4,2,2023,2022-23,div2,Fayetteville Tech,fayettevilletechnicalcommunitycollege,austinwalshsszn,Austin Walsh
Feb 26,home,Bryant & Stratton (VA),L,6-5,6,5,1,win,20230226_5wc3,1,0,0,0,5.0,5,2,1,1.80,2,6,2023,2022-23,div2,Fayetteville Tech,fayettevilletechnicalcommunitycollege,austinwalshsszn,Austin Walsh
Mar 5,home,Richard Bland,W,7-6,7,6,1,win,20230305_9syv,1,0,0,0,2.0,5,4,4,18.00,2,1,2023,2022-23,div2,Fayetteville Tech,fayettevilletechnicalcommunitycollege,austinwalshsszn,Austin Walsh
Mar 11,home,Pitt,L,4-3,4,3,1,win,20230311_r14u,0,0,0,0,0.2,1,0,0,0.00,1,0,2023,2022-23,div2,Fayetteville Tech,fayettevilletechnicalcommunitycollege,austinwalshsszn,Austin Walsh
