date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 9,home,Elgin,W,4-3,4,3,1.0,win,20190309_2u0m,0,0,0,0,1.0,,,,0.00,3,1,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 9,home,Massasoit,W,11-2,11,2,9.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 10,home,New River,W,11-1,11,1,10.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 11,home,Bergen,W,7-6,7,6,1.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 12,home,Spoon River,W,4-2,4,2,2.0,win,20190312_fce7,1,1,0,0,6.0,6,2,1,1.50,1,3,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 13,home,Rochester,W,11-4,11,4,7.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 17,home,RCSJ Gloucester,L,16-3,16,3,13.0,win,20190317_jg4t,0,0,0,0,3.0,3,4,3,9.00,1,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 17,home,RCSJ Gloucester,L,19-9,19,9,10.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 23,home,Cayuga,,,,,10.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 23,home,Cayuga,,,,,10.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 24,home,Sussex County,L,9-4,9,4,5.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 24,home,Sussex County,L,4-3,4,3,1.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 25,home,Union,W,12-7,12,7,5.0,win,20190325_cvd0,1,1,0,0,6.0,6,2,2,3.00,3,4,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
Mar 29,home,Mercer County,L,3-2,3,2,1.0,win,,,,,,,,,,,,,2019,2018-19,div2,Lehigh Carbon,lehighcarboncommunitycollege,vincerongionebb31,Vince Rongione
