date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 27,home,vs. Parkland,L,8-3,8,8,1,0,1,0,4.0,4,3,3,6.75,1,6,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Feb 27,home,vs. Southeastern Illinois,W,4-0,4,4,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Feb 28,home,vs. Southeastern Illinois,L,8-4,8,8,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Feb 28,home,vs. Parkland,L,10-0,10,10,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 4,home,vs. Rend Lake,W,6-2,6,6,1,1,0,0,5.1,5,2,2,3.38,4,5,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 4,home,vs. Lake Land,W,12-2,12,12,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 5,home,vs. Parkland,L,11-1,11,11,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 5,home,vs. Lincoln Trail,L,18-0,18,18,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 6,home,vs. Lakeland,W,17-2,17,17,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 13,home,vs. Oakton,W,7-2,7,7,1,1,0,0,6.1,3,2,1,1.42,3,7,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 13,home,vs. Oakton,W,11-4,11,11,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 14,home,vs. Kishwaukee,L,8-4,8,8,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 14,home,vs. Kishwaukee,W,8-4,8,8,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 15,home,vs. RCSJ Gloucester,W,21-7,21,21,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 17,home,vs. Northern Essex,W,6-2,6,6,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 17,home,vs. Northern Essex,W,13-3,13,13,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 18,home,vs. Delgado,L,6-2,6,6,1,0,1,0,5.0,9,6,5,9.00,0,1,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 18,home,vs. Delgado,L,10-0,10,10,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 19,home,vs. Waubonsee,W,17-4,17,17,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 23,home,Prairie State,W,11-0,11,11,1,1,0,0,5.0,3,0,0,0.00,3,5,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 23,home,Prairie State,L,8-5,8,8,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Mar 30,home,Carl Sandburg,W,13-12,13,13,0,1,0,0,1.1,1,,,0.00,,2,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 2,home,Marshalltown,L,7-5,7,7,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 2,home,Marshalltown,L,10-2,10,10,1,0,1,0,3.1,4,6,6,16.20,3,6,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 3,home,Marshalltown,L,11-1,11,11,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 3,home,Marshalltown,W,10-9,10,10,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 9,home,Indian Hills,L,3-0,3,3,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 9,home,Indian Hills,L,7-1,7,7,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 10,home,Indian Hills,W,4-1,4,4,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 10,home,Indian Hills,L,18-2,18,18,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 12,home,Iowa Central,L,13-3,13,13,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 14,away,Augustana JV,W,9-3,9,9,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 14,away,Augustana JV,W,7-2,7,7,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 16,away,Iowa Western,L,14-4,14,14,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 16,away,Iowa Western,L,9-3,9,9,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 17,away,Iowa Western,L,15-1,15,15,1,0,1,0,2.2,8,10,10,33.75,2,2,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 17,away,Iowa Western,L,5-0,5,5,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 19,home,Southeastern,L,5-4,5,5,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 23,away,Marshalltown,W,13-8,13,13,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 23,away,Marshalltown,W,11-9,11,11,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 24,away,Marshalltown,W,3-2,3,3,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 24,away,Marshalltown,L,5-4,5,5,1,0,1,0,6.0,5,5,4,6.00,3,5,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 26,away,Southeastern,W,8-3,8,8,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 28,home,Augustana College,W,6-3,6,6,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
Apr 28,home,Augustana College,L,12-11,12,12,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
May 1,away,Indian Hills,L,5-1,5,5,1,0,1,0,5.1,5,4,4,6.75,2,8,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
May 1,away,Indian Hills,L,10-0,10,10,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
May 2,away,Indian Hills,L,3-2,3,3,,,,,,,,,,,,2016,2015-16,div1,Muscatine,muscatinecommunitycollege,anthonycosme27qg,Anthony Cosme
