date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 23,home,Tyler,,,,,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Sep 30,away,Tyler,,,,,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 5,home,vs. Navarro,W,9-5,9,9,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 6,home,vs. Alvin,W,10-9,10,10,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 7,away,Odessa,W,6-2,6,6,1,1,0,0,5.0,3,1,1,1.80,1,3,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 7,home,vs. Baton Rouge,W,7-5,7,7,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 11,away,Northeast Texas,W,9-8,9,9,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 13,home,Northeast Texas,W,10-4,10,10,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 13,home,Northeast Texas,L,6-5,6,6,0,0,0,0,1.0,4,1,1,9.00,,2,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 19,home,Navarro,W,8-6,8,8,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 19,home,New Mexico,L,12-2,12,12,1,0,1,0,4.0,6,4,4,9.00,3,10,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 20,home,New Mexico,W,14-7,14,14,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 20,home,Navarro,L,9-3,9,9,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 24,home,Dallas College - Brookhaven,W,8-3,8,8,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 26,away,Midland,W,9-7,9,9,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 27,away,Midland,L,14-9,14,14,1,0,0,0,3.0,8,5,5,15.00,2,1,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Feb 27,away,Midland,W,14-10,14,14,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Mar 2,away,Tyler,W,2-1,2,2,,,,,,,,,,,,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
Mar 2,away,Tyler,L,2-1,2,2,1,0,1,0,5.0,3,2,1,1.80,1,7,2016,2015-16,div1,Weatherford,weatherfordcollege,reaganmacdonaldol5y,Reagan MacDonald
