No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
1,Tyler Swanson,MIF,So,https://www.njcaa.org/sports/bsb/2022-23/div2/players/tylerswansonszh8,tylerswansonszh8,Lake County,2022-23,div2,collegeoflakecounty,2023
2,Tommy Stricklin,IF,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/tommystricklinljb2,tommystricklinljb2,Lake County,2022-23,div2,collegeoflakecounty,2023
3,Evan Henry,C,So,https://www.njcaa.org/sports/bsb/2022-23/div2/players/evanhenry6ccx,evanhenry6ccx,Lake County,2022-23,div2,collegeoflakecounty,2023
4,Seth Gossett,OF,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/sethgossettql0v,sethgossettql0v,Lake County,2022-23,div2,collegeoflakecounty,2023
5,Owen Degrand,RHP,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/owendegrand9kfr,owendegrand9kfr,Lake County,2022-23,div2,collegeoflakecounty,2023
7,Valentin Cerna Jr.,MIF,So,https://www.njcaa.org/sports/bsb/2022-23/div2/players/valentincernajr3g0h,valentincernajr3g0h,Lake County,2022-23,div2,collegeoflakecounty,2023
8,Logan Lauterbach,OF,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/loganlauterbachifjw,loganlauterbachifjw,Lake County,2022-23,div2,collegeoflakecounty,2023
9,Adian Herrick,C,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/adianherrick7lmx,adianherrick7lmx,Lake County,2022-23,div2,collegeoflakecounty,2023
10,Braydon Gibour,IF,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/braydongibourhztc,braydongibourhztc,Lake County,2022-23,div2,collegeoflakecounty,2023
12,Mathews Ford,OF,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/mathewsfordryhr,mathewsfordryhr,Lake County,2022-23,div2,collegeoflakecounty,2023
13,Ryan Risch,RHP/IF,So,https://www.njcaa.org/sports/bsb/2022-23/div2/players/ryanrisch0ktb,ryanrisch0ktb,Lake County,2022-23,div2,collegeoflakecounty,2023
16,Jacob Kleemann,OF,So,https://www.njcaa.org/sports/bsb/2022-23/div2/players/jacobkleemannbtoo,jacobkleemannbtoo,Lake County,2022-23,div2,collegeoflakecounty,2023
17,Caden Herron,MIF,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/cadenherron8gae,cadenherron8gae,Lake County,2022-23,div2,collegeoflakecounty,2023
18,Clay Cerna,OF,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/claycerna03xq,claycerna03xq,Lake County,2022-23,div2,collegeoflakecounty,2023
19,Joseph Mrowiec,UTL/RHP,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/josephmrowieczod3,josephmrowieczod3,Lake County,2022-23,div2,collegeoflakecounty,2023
20,Edgar Salinas,C,Fr,https://www.njcaa.org/sports/bsb/2022-23/div2/players/edgarsalinas75ci,edgarsalinas75ci,Lake County,2022-23,div2,collegeoflakecounty,2023
21,Brennen Miller,RHP,So,https://www.njcaa.org/sports/bsb/2022-23/div2/players/brennenmillerppu4,brennenmillerppu4,Lake County,2022-23,div2,collegeoflakecounty,2023
23,Jacob Thoresen,RHP,So,https://www.njcaa.org/sports/bsb/2022-23/div2/players/jacobthoresenbulj,jacobthoresenbulj,Lake County,2022-23,div2,collegeoflakecounty,2023
