date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 28,away,St. Petersburg,L,5-0,5,5,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Jan 28,home,vs. Polk State,L,10-1,10,10,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Jan 29,home,vs. Central Florida,L,16-7,16,16,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 6,home,vs. Mississippi Delta,W,18-5,18,18,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 8,home,vs. Copiah-Lincoln,W,5-2,5,5,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 8,home,vs. Copiah-Lincoln,W,11-1,11,11,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 11,home,vs. Lake Michigan,W,9-2,9,9,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 11,home,vs. Holmes,W,9-0,9,9,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 13,home,vs. National Park,W,3-1,3,3,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 13,home,vs. Rend Lake,W,5-0,5,5,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 18,home,vs. Wabash Valley,W,10-7,10,10,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 20,home,vs. Carl Albert State,W,3-1,3,3,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 21,home,Jefferson (MO),W,13-0,13,13,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 25,home,vs. Kirkwood,W,7-6,7,7,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 26,home,vs. Mineral Area,W,10-6,10,10,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Feb 27,home,vs. Pearl River,W,8-6,8,8,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 2,away,Freed Hardeman University JV,W,4-2,4,4,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 2,away,Freed Hardeman University JV,W,6-2,6,6,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 4,home,Cleveland State,W,4-2,4,4,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 5,home,Cleveland State,W,9-2,9,9,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 5,home,Cleveland State,W,3-2,3,3,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 13,away,Columbia State,L,8-0,8,8,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 14,away,Columbia State,L,5-2,5,5,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 14,away,Columbia State,L,6-5,6,6,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 20,home,Southwest Tennessee,W,5-4,5,5,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 21,home,Southwest Tennessee,W,13-1,13,13,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 21,home,Southwest Tennessee,W,3-1,3,3,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 25,away,Volunteer State,W,13-9,13,13,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 26,away,Volunteer State,W,9-2,9,9,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 26,away,Volunteer State,W,11-0,11,11,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Mar 30,home,Freed Hardeman University JV,W,20-5,20,20,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 2,away,Jackson State,W,14-3,14,14,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 2,away,Jackson State,L,5-3,5,5,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 3,away,Jackson State,W,3-2,3,3,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 9,home,Motlow State,W,5-0,5,5,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 9,home,Motlow State,W,3-0,3,3,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 10,home,Motlow State,W,4-2,4,4,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 12,away,John A. Logan,W,11-7,11,11,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 15,home,Roane State,W,5-0,5,5,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 15,home,Roane State,W,8-3,8,8,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 16,home,Roane State,W,10-2,10,10,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 19,home,vs. Jefferson (MO),L,11-5,11,11,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 22,away,Walters State,L,4-1,4,4,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 23,away,Walters State,L,7-3,7,7,,,,,,,,,,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 23,away,Walters State,W,10-9,10,10,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 27,home,John A. Logan,W,5-4,5,5,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 29,away,Chattanooga State,W,6-3,6,6,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 29,away,Chattanooga State,L,6-4,6,6,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
Apr 30,away,Chattanooga State,W,9-1,9,9,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
May 9,home,vs. Cleveland State,L,10-9,10,10,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
May 10,home,vs. Roane State,W,9-1,9,9,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
May 11,home,vs. Columbia State,W,9-1,9,9,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
May 11,home,vs. Motlow State,W,13-3,13,13,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
May 12,away,Chattanooga State,W,11-5,11,11,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
May 12,home,vs. Walters State,L,7-4,7,7,0,0,0,0,0.0,,,,0.00,,,,2022,2021-22,div1,Dyersburg State,dyersburgstatecommunitycollege,morrquisecharlesjrjn,Morrquise Charles
