date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 8,away,Seminole State (OK),,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Sep 8,away,Seminole State (OK),,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Sep 10,home,vs. Northeast Texas,,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Sep 22,home,Dallas College - Brookhaven,,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Sep 22,home,Dallas College - Brookhaven,,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Oct 1,away,TCS Post Grad,,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Oct 1,away,TCS Post Grad,,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Oct 18,away,Dallas College - Brookhaven,,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Oct 18,away,Dallas College - Brookhaven,,,,,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Feb 1,home,Rose State,L,6-5,6,6,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Feb 1,home,Rose State,W,8-4,8,8,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Feb 8,home,Oklahoma Christian,W,4-0,4,4,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Feb 8,home,Oklahoma Christian,W,14-9,14,14,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Feb 11,home,Des Moines Area,L,7-6,7,7,,,,,,,,,,,,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
Feb 11,home,Des Moines Area,L,14-12,14,14,0,0,0,0,0.2,,3,2,27.00,2,1,,2022,2021-22,div1,North Central Texas,northcentraltexascollege,skyleryarboroughn20t,Skyler Yarborough
