date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 6,home,Allegheny County-South,W,12-2,12,12,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 7,home,Westmoreland,W,10-0,10,10,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 7,home,Westmoreland,W,8-4,8,8,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 10,away,West Virginia Wesleyan,W,7-5,7,7,1,1,0,0,2.2,3,4,,0.00,2,1,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 10,away,West Virginia Wesleyan,W,15-1,15,15,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 13,away,Garrett,W,8-4,8,8,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 13,away,Garrett,W,12-2,12,12,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 14,away,Hagerstown,W,5-2,5,5,1,1,0,0,8.1,8,2,2,2.16,2,10,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 16,away,Garrett,W,15-3,15,15,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 20,home,Monroe College,W,12-6,12,12,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 20,home,Monroe College,L,5-3,5,5,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 21,home,Chesapeake,W,5-3,5,5,1,1,0,0,7.0,7,3,1,1.29,1,6,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 22,away,CCBC Catonsville,L,4-2,4,4,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 22,away,CCBC Catonsville,W,10-5,10,10,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 25,home,Lackawanna,L,6-5,6,6,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 25,home,Lackawanna,W,9-8,9,9,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 27,home,Shenandoah University JV,W,6-0,6,6,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
Apr 27,home,Shenandoah University JV,W,8-5,8,8,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
