date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 1,home,Southwest Virginia,W,14-2,14,14,1,1,0,0,4.0,1,1,1,2.25,1,7,1,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 1,home,Southwest Virginia,W,15-4,15,15,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 2,home,Southwest Virginia,W,12-1,12,12,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 4,away,Wallace State,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 9,home,Vincennes,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 9,home,Vincennes,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 10,home,Vincennes,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 11,away,Calhoun,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 15,away,Gordon State,L,12-5,12,12,1,0,1,0,2.2,7,8,4,13.50,4,3,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 15,away,Gordon State,L,14-2,14,14,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 16,away,Gordon State,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 19,away,Georgia Highlands,L,8-4,8,8,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 21,home,St. Charles,W,10-0,10,10,1,1,0,0,5.0,2,0,0,0.00,4,6,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 21,home,St. Charles,W,11-1,11,11,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 22,home,St. Charles,W,5-4,5,5,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 22,home,St. Charles,W,5-1,5,5,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 25,home,Gordon State,L,14-6,14,14,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 28,away,Jackson State,W,10-5,10,10,1,1,0,0,5.0,8,5,3,5.40,1,4,1,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 29,away,Jackson State,W,3-2,3,3,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Feb 29,away,Jackson State,L,3-2,3,3,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Mar 4,home,Tusculum JV,W,6-1,6,6,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Mar 4,home,Tusculum JV,W,16-5,16,16,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Mar 6,home,Roane State,W,6-4,6,6,1,0,0,0,3.2,5,3,3,7.36,7,4,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Mar 7,home,Roane State,L,3-2,3,3,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Mar 7,home,Roane State,W,10-9,10,10,0,0,0,0,0.0,,,,0.00,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Mar 10,home,Calhoun,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Mar 13,away,Motlow State,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
Mar 14,away,Motlow State,,,,,,,,,,,,,,,,,2020,2019-20,div1,Cleveland State,clevelandstatecommunitycollege,brycejenkinshs92,Bryce Jenkins
