date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 11,home,Bishop State,W,11-6,11,11,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 11,home,Bishop State,W,7-3,7,7,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 16,home,College of St. Joseph,W,5-1,5,5,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 16,home,Pensacola State,W,7-5,7,7,0,1,0,0,2.0,1,,,0.00,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 18,home,Pensacola State,L,12-8,12,12,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 18,home,College of St. Joseph,L,5-4,5,5,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 19,home,College of St. Joseph,W,10-3,10,10,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 19,home,College of St. Joseph,W,9-4,9,9,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 22,away,Copiah-Lincoln,W,9-0,9,9,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Feb 22,away,Copiah-Lincoln,W,10-7,10,10,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Mar 1,home,Southwest Mississippi,W,4-1,4,4,,,,,,,,,,,,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
Mar 1,home,Southwest Mississippi,L,3-1,3,3,0,0,0,0,5.0,4,,,0.00,2,6,,2017,2016-17,div1,Delgado,delgadocommunitycollege,blayneharoqn82,Blayne Haro
