season,njcaa_division,team,team_id,location,opponent,result,score,game_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Central Florida,L,13-11,20230222_11dw,1.0,0.0,1.0,0.0,7.3,11.0,12.0,10.0,9.0,11.0,3.0,0.0,12.329,46.0,2.74,13.562,3.699,11.096,13.562,1.222,14.795
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Central Florida,L,7-6,20230224_6rdh,1.0,0.0,1.0,0.0,8.3,12.0,7.0,7.0,7.0,5.0,1.0,0.0,7.59,75.0,2.289,13.012,1.084,7.59,5.422,0.714,7.59
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Florida State Jacksonville,L,11-7,20230308_pehn,1.0,0.0,1.0,0.0,7.3,13.0,11.0,10.0,4.0,7.0,1.0,0.0,12.329,46.0,2.329,16.027,1.233,4.932,8.63,1.75,13.562
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Florida State Jacksonville,W,11-3,20230307_7uzq,1.0,1.0,0.0,1.0,9.0,6.0,3.0,1.0,4.0,12.0,0.0,1.0,1.0,567.0,1.111,6.0,0.0,4.0,12.0,3.0,3.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Jackson,W,17-0,20230309_q5gi,1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,,0.6,3.6,0.0,1.8,12.6,7.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Jackson,W,5-4,20230309_1xkc,1.0,1.0,0.0,1.0,6.3,5.0,4.0,4.0,2.0,10.0,0.0,1.0,5.714,99.0,1.111,7.143,0.0,2.857,14.286,5.0,5.714
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Roane State,L,5-4,20230205_5xo0,1.0,0.0,1.0,0.0,6.3,9.0,5.0,3.0,3.0,9.0,1.0,0.0,4.286,132.0,1.905,12.857,1.429,4.286,12.857,3.0,7.143
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Roane State,W,9-1,20230204_2wxu,1.0,0.0,0.0,0.0,8.299999999999999,3.0,1.0,1.0,6.0,14.0,0.0,,1.084,523.0,1.084,3.253,0.0,6.506,15.181,2.333,1.084
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Roane State,W,9-1,20230205_qqd4,1.0,1.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,11.0,0.0,1.0,1.286,441.0,0.286,2.571,0.0,0.0,14.143,,1.286
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Santa Fe,L,10-3,20230216_d657,1.0,0.0,1.0,0.0,8.0,14.0,10.0,8.0,1.0,6.0,1.0,0.0,9.0,63.0,1.875,15.75,1.125,1.125,6.75,6.0,11.25
