season,njcaa_division,team,team_id,location,opponent,result,score,game_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2020,div1,ASA New York,asabrooklynavengers,home,Bronx,W,12-2,20200301_uqvj,1.0,1.0,0.0,0.0,5.0,2.0,2.0,2.0,1.0,7.0,0.0,1.0,3.6,141.0,0.6,3.6,0.0,1.8,12.6,7.0,3.6
2020,div1,ASA New York,asabrooklynavengers,home,Bronx,W,3-2,20200301_e0b4,1.0,1.0,0.0,1.0,7.0,5.0,2.0,2.0,4.0,11.0,0.0,1.0,2.571,198.0,1.286,6.429,0.0,5.143,14.143,2.75,2.571
2020,div1,ASA New York,asabrooklynavengers,home,Dakota County Tech,L,11-3,20200311_vxk0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2020,div1,ASA New York,asabrooklynavengers,home,Dakota County Tech,L,7-6,20200311_lxq5,1.0,0.0,1.0,0.0,5.3,4.0,7.0,2.0,8.0,9.0,0.0,0.0,3.396,150.0,2.264,6.792,0.0,13.585,15.283,1.125,11.887
2020,div1,ASA New York,asabrooklynavengers,home,Heartland,L,11-0,20200308_l3i7,1.0,0.0,1.0,0.0,3.3000000000000003,8.0,11.0,11.0,8.0,4.0,0.0,0.0,30.0,17.0,4.848,21.818,0.0,21.818,10.909,0.5,30.0
2020,div1,ASA New York,asabrooklynavengers,home,Heartland,L,4-0,20200308_twul,1.0,0.0,1.0,0.0,7.0,6.0,4.0,4.0,4.0,10.0,0.0,0.0,5.143,99.0,1.429,7.714,0.0,5.143,12.857,2.5,5.143
2020,div1,ASA New York,asabrooklynavengers,home,Jackson,L,10-0,20200307_j5do,1.0,0.0,1.0,0.0,9.0,8.0,10.0,6.0,9.0,5.0,1.0,0.0,6.0,85.0,1.889,8.0,1.0,9.0,5.0,0.556,10.0
2020,div1,ASA New York,asabrooklynavengers,home,Minnesota State,W,13-10,20200312_7aab,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020,div1,ASA New York,asabrooklynavengers,home,Prairie State,W,14-2,20200309_mw78,1.0,1.0,0.0,0.0,5.0,2.0,2.0,1.0,4.0,7.0,0.0,1.0,1.8,283.0,1.2,3.6,0.0,7.2,12.6,1.75,3.6
2020,div1,ASA New York,asabrooklynavengers,home,Prairie State,W,14-4,20200309_3mec,1.0,1.0,0.0,0.0,6.0,3.0,4.0,3.0,3.0,10.0,1.0,1.0,4.5,113.0,1.0,4.5,1.5,4.5,15.0,3.333,6.0
2020,div1,ASA New York,asabrooklynavengers,home,St. Cloud Tech,L,12-2,20200312_9d44,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2020,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Brewton Parker College JV,W,11-2,20200311_jmvs,1.0,1.0,0.0,0.0,7.0,5.0,2.0,1.0,4.0,13.0,0.0,1.0,1.286,396.0,1.286,6.429,0.0,5.143,16.714,3.25,2.571
2020,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Brewton Parker College JV,W,9-6,20200311_kykk,1.0,1.0,0.0,1.0,6.3,8.0,6.0,5.0,3.0,12.0,2.0,1.0,7.143,71.0,1.746,11.429,2.857,4.286,17.143,4.0,8.571
2020,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Central Florida,L,4-2,20200215_n4mk,1.0,0.0,0.0,0.0,6.0,7.0,4.0,0.0,4.0,7.0,0.0,,0.0,,1.833,10.5,0.0,6.0,10.5,1.75,6.0
2020,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Central Florida,L,4-3,20200215_0ics,1.0,0.0,0.0,0.0,6.3,4.0,4.0,1.0,4.0,5.0,0.0,,1.429,356.0,1.27,5.714,0.0,5.714,7.143,1.25,5.714
