season,njcaa_division,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2018,div1,ASA New York,asabrooklynavengers,alfredoyan6ocw,Alfredo Yan,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2018,div1,ASA New York,asabrooklynavengers,blaylorgalice0wba,Blaylor Galice,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2018,div1,ASA New York,asabrooklynavengers,bryandelgadol0su,Bryan Delgado,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2018,div1,ASA New York,asabrooklynavengers,christiancruzzlmk,Christian Cruz,46,15.0,11.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.364,0.533,0.364,0.897,94.0,0.0,0.5,0.25,0.0,0.2,0.267,-0.067,1.333
2018,div1,ASA New York,asabrooklynavengers,darwintavareze0eq,Darwin Tavarez,46,124.0,106.0,16.0,30.0,5.0,2.0,1.0,22.0,9.0,1.0,12.0,40.0,42.0,1.0,4.0,1.0,8.0,3.0,24.0,13.0,1.846,0.283,0.347,0.472,0.819,86.0,0.104,0.439,0.357,0.008,0.323,0.097,0.226,0.3
2018,div1,ASA New York,asabrooklynavengers,dilsonvasquezisyf,Dilson Vasquez,46,143.0,124.0,33.0,38.0,5.0,3.0,1.0,22.0,23.0,1.0,10.0,42.0,52.0,4.0,3.0,2.0,9.0,1.0,27.0,21.0,1.286,0.306,0.364,0.492,0.856,90.0,0.113,0.446,0.627,0.007,0.294,0.07,0.224,0.238
2018,div1,ASA New York,asabrooklynavengers,edwintavareza9e0,Edwin Tavarez,46,130.0,114.0,20.0,29.0,2.0,0.0,3.0,16.0,4.0,3.0,12.0,34.0,40.0,2.0,1.0,1.0,5.0,4.0,30.0,22.0,1.364,0.254,0.331,0.395,0.726,76.0,0.018,0.333,0.425,0.023,0.262,0.092,0.17,0.353
2018,div1,ASA New York,asabrooklynavengers,ervinreyeswty7,Ervin Reyes,46,38.0,31.0,7.0,6.0,0.0,2.0,0.0,3.0,1.0,1.0,5.0,14.0,10.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,0.833,0.194,0.316,0.387,0.703,74.0,0.194,0.353,0.583,0.0,0.368,0.132,0.236,0.357
2018,div1,ASA New York,asabrooklynavengers,faustobreton12sj,Fausto Breton,46,16.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.077,0.25,0.077,0.327,34.0,0.0,0.333,0.5,0.0,0.625,0.188,0.437,0.3
2018,div1,ASA New York,asabrooklynavengers,jesustejadapp1y,Jesus Tejada,46,104.0,94.0,15.0,26.0,3.0,0.0,1.0,13.0,4.0,1.0,8.0,20.0,32.0,0.0,0.0,2.0,4.0,1.0,27.0,22.0,1.227,0.277,0.327,0.383,0.71,75.0,0.032,0.333,0.424,0.01,0.192,0.077,0.115,0.4
