season,njcaa_division,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,div1,ASA New York,asabrooklynavengers,bryandelgado32d0,Bryan Delgado,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2016,div1,ASA New York,asabrooklynavengers,carlosmartinezzeij,Carlos Martinez,65,68.0,53.0,10.0,19.0,0.0,0.0,0.0,7.0,4.0,0.0,13.0,13.0,19.0,1.0,0.0,1.0,0.0,0.0,11.0,13.0,0.846,0.358,0.485,0.358,0.843,89.0,0.0,0.463,0.303,0.0,0.191,0.191,0.0,1.0
2016,div1,ASA New York,asabrooklynavengers,cesarcapellansmnw,Cesar Capellan,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2016,div1,ASA New York,asabrooklynavengers,dilsonvasquezgbxg,Dilson Vasquez,65,76.0,63.0,19.0,20.0,5.0,1.0,0.0,7.0,12.0,0.0,8.0,21.0,27.0,5.0,0.0,0.0,6.0,0.0,11.0,11.0,1.0,0.317,0.434,0.524,0.958,101.0,0.127,0.476,0.576,0.0,0.276,0.105,0.171,0.381
2016,div1,ASA New York,asabrooklynavengers,diogenesespinalo3j0,Diogenes Espinal,65,26.0,19.0,7.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0,7.0,1.143,0.105,0.269,0.105,0.374,40.0,0.0,0.118,1.0,0.0,0.115,0.154,-0.039,1.333
2016,div1,ASA New York,asabrooklynavengers,endelmendezvykw,Endel Mendez,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2016,div1,ASA New York,asabrooklynavengers,eurickperezq00g,Eurick Perez,65,124.0,95.0,23.0,26.0,4.0,0.0,1.0,18.0,3.0,1.0,21.0,20.0,33.0,2.0,3.0,3.0,5.0,0.0,19.0,28.0,0.679,0.274,0.395,0.4,0.795,84.0,0.042,0.325,0.458,0.008,0.161,0.169,-0.008,1.05
2016,div1,ASA New York,asabrooklynavengers,felixhernandezppsj,Felix Hernandez,65,82.0,70.0,22.0,22.0,3.0,1.0,0.0,16.0,5.0,1.0,8.0,19.0,27.0,0.0,2.0,2.0,4.0,1.0,20.0,13.0,1.538,0.314,0.366,0.443,0.809,86.0,0.086,0.415,0.733,0.0,0.232,0.098,0.134,0.421
2016,div1,ASA New York,asabrooklynavengers,hendryarnaudyzeo,Hendry Arnaud,65,153.0,128.0,37.0,57.0,5.0,1.0,0.0,28.0,11.0,1.0,15.0,16.0,64.0,5.0,2.0,3.0,6.0,0.0,31.0,27.0,1.148,0.445,0.503,0.547,1.05,111.0,0.062,0.496,0.481,0.0,0.105,0.098,0.007,0.938
2016,div1,ASA New York,asabrooklynavengers,hensyzapatakpfk,Hensy Zapata,65,97.0,87.0,16.0,25.0,3.0,1.0,0.0,10.0,6.0,0.0,6.0,11.0,30.0,2.0,2.0,0.0,4.0,1.0,21.0,27.0,0.778,0.287,0.34,0.391,0.731,77.0,0.069,0.329,0.485,0.0,0.113,0.062,0.051,0.545
