season,njcaa_division,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,jabaridanielyzwkq,Jabari Daniely,4,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.286,0.0,0.286,26.0,0.0,0.0,0.5,0.0,0.286,0.143,0.143,0.5
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,jackwitmer26gj,Jack Witmer,19,71.0,49.0,17.0,17.0,8.0,1.0,0.0,22.0,8.0,0.0,14.0,8.0,27.0,5.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.347,0.507,0.735,1.242,111.0,0.224,0.386,0.472,0.0,0.113,0.197,-0.084,1.75
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,jebjohnsonkdqe,Jeb Johnson,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,joefisher13ki,Joe Fisher,19,75.0,49.0,23.0,20.0,7.0,0.0,5.0,17.0,3.0,1.0,10.0,6.0,42.0,14.0,1.0,1.0,12.0,0.0,1.0,0.0,,0.408,0.587,1.102,1.689,151.0,0.143,0.385,0.462,0.067,0.08,0.133,-0.053,1.667
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,johnmonnin9ze8,John Monnin,5,22.0,16.0,6.0,6.0,2.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.375,0.5,0.625,1.125,101.0,0.125,0.375,0.545,0.0,0.045,0.182,-0.137,4.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,jordennathanielzr0q,Jorden Nathaniel,9,27.0,23.0,6.0,6.0,2.0,0.0,1.0,4.0,1.0,0.0,3.0,6.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.261,0.37,0.609,0.979,88.0,0.087,0.312,0.556,0.037,0.222,0.111,0.111,0.5
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,jorgepascual0e8e,Jorge Pascual,19,77.0,57.0,23.0,21.0,6.0,0.0,3.0,20.0,1.0,0.0,15.0,16.0,36.0,4.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.368,0.519,0.789,1.308,117.0,0.105,0.462,0.541,0.039,0.208,0.195,0.013,0.938
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,justinenglandrhm5,Justin England,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,loganbolingerqtjz,Logan Bolinger,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,lucasmoricihlmq,Lucas Morici,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,lukenormanzx96,Luke Norman,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,matthewglassyzdv,Matthew Glass,11,39.0,29.0,11.0,10.0,3.0,0.0,0.0,15.0,0.0,0.0,4.0,7.0,13.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,,0.345,0.487,0.552,1.039,93.0,0.103,0.435,0.579,0.0,0.179,0.103,0.076,0.571
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,michaelmorrisonlvo9,Michael Morrison,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,0.0,0.0,0.0,1.0,-1.0,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,nicholesmilbrandt7yxy,Nicholes Milbrandt,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,paytonchaceboinesxary,Payton Chace Boines,13,44.0,38.0,14.0,19.0,1.0,0.0,9.0,24.0,2.0,1.0,1.0,5.0,47.0,4.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.5,0.545,1.5,2.045,183.0,0.026,0.4,0.333,0.205,0.114,0.023,0.091,0.2
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,terrygarmon755x,Terry Garmon,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,trentonhedgepethdcwf,Trenton Hedgepeth,6,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.25,22.0,0.0,0.0,0.5,0.0,0.5,0.25,0.25,0.5
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,trypplumpkinhqqx,Trypp Lumpkin,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,tydavis1vyz,Ty Davis,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,williamrichardsgjme,William Richards,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,wyattdoyle18bm,Wyatt Doyle,5,22.0,16.0,6.0,6.0,2.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.375,0.5,0.625,1.125,101.0,0.125,0.375,0.545,0.0,0.045,0.182,-0.137,4.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,wyatttalikwhue,Wyatt Talik,8,28.0,21.0,12.0,10.0,2.0,0.0,1.0,6.0,0.0,0.0,6.0,3.0,15.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.476,0.607,0.857,1.464,131.0,0.095,0.529,0.688,0.036,0.107,0.214,-0.107,2.0
2023,div1,Allen County,allencountycommunitycollege,anthonyninog9oj,Anthony Nino,10,36.0,32.0,3.0,9.0,1.0,0.0,0.0,6.0,1.0,1.0,2.0,3.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.281,0.361,0.344,0.705,63.0,0.031,0.31,0.231,0.0,0.083,0.056,0.027,0.667
2023,div1,Allen County,allencountycommunitycollege,armandonavarrovp7x,Armando Navarro,10,33.0,23.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,11.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,,0.13,0.303,0.304,0.607,54.0,0.087,0.231,0.1,0.0,0.333,0.152,0.181,0.455
2023,div1,Allen County,allencountycommunitycollege,blakevenneman477h,Blake Venneman,15,65.0,46.0,15.0,17.0,2.0,0.0,0.0,6.0,14.0,1.0,13.0,2.0,19.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.37,0.508,0.457,0.965,86.0,0.043,0.37,0.455,0.0,0.031,0.2,-0.169,6.5
2023,div1,Allen County,allencountycommunitycollege,bobbywalkerqap4,Bobby Walker,6,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.5,0.0
2023,div1,Allen County,allencountycommunitycollege,bradenhendrixrne6,Braden Hendrix,9,20.0,15.0,4.0,5.0,2.0,0.0,1.0,5.0,1.0,2.0,3.0,2.0,10.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,,0.333,0.45,0.867,1.317,118.0,0.133,0.333,0.375,0.05,0.1,0.15,-0.05,1.5
2023,div1,Allen County,allencountycommunitycollege,brandonharperrn7d,Brandon Harper,12,40.0,35.0,7.0,9.0,1.0,1.0,1.0,7.0,0.0,0.0,2.0,10.0,15.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,,0.257,0.3,0.514,0.814,73.0,0.114,0.32,0.545,0.025,0.25,0.05,0.2,0.2
2023,div1,Allen County,allencountycommunitycollege,braydenthompsonnz0v,Brayden Thompson,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
