season,njcaa_division,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2013,div1,ASA New York,asabrooklynavengers,alexechevarriasxc6,Alex Echevarria,45,183.0,159.0,41.0,61.0,14.0,3.0,1.0,39.0,18.0,1.0,21.0,24.0,84.0,1.0,0.0,2.0,18.0,0.0,33.0,33.0,1.0,0.384,0.454,0.642,1.096,129.0,0.145,0.441,0.488,0.005,0.131,0.115,0.016,0.875
2013,div1,ASA New York,asabrooklynavengers,carlostejedacq5j,Carlos Tejeda,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2013,div1,ASA New York,asabrooklynavengers,cesarfriasxy24,Cesar Frias,45,15.0,15.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.25,0.333,0.333,0.467,0.8,94.0,0.067,0.417,0.6,0.0,0.2,0.0,0.2,0.0
2013,div1,ASA New York,asabrooklynavengers,danaurisbaezouu6,Danauris Baez,45,46.0,34.0,11.0,8.0,2.0,0.0,1.0,8.0,0.0,0.0,8.0,12.0,13.0,2.0,1.0,1.0,3.0,0.0,7.0,4.0,1.75,0.235,0.391,0.471,0.862,102.0,0.059,0.318,0.588,0.022,0.261,0.174,0.087,0.667
2013,div1,ASA New York,asabrooklynavengers,eduardofamilia3u98,Eduardo Familia,45,145.0,89.0,52.0,28.0,7.0,1.0,2.0,21.0,24.0,1.0,26.0,23.0,43.0,27.0,2.0,1.0,10.0,0.0,17.0,18.0,0.944,0.315,0.559,0.596,1.155,136.0,0.112,0.4,0.633,0.014,0.159,0.179,-0.02,1.13
2013,div1,ASA New York,asabrooklynavengers,eduinvaldez4ikk,Eduin Valdez,45,133.0,117.0,35.0,50.0,11.0,1.0,2.0,29.0,6.0,2.0,9.0,23.0,69.0,5.0,1.0,1.0,14.0,2.0,26.0,17.0,1.529,0.427,0.481,0.709,1.19,140.0,0.12,0.516,0.532,0.015,0.173,0.068,0.105,0.391
2013,div1,ASA New York,asabrooklynavengers,genarodebrandjfiq,Genaro Debrand,45,6.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.167,0.2,0.367,43.0,0.0,0.25,3.0,0.0,0.167,0.0,0.167,0.0
2013,div1,ASA New York,asabrooklynavengers,georgekantzian2vry,George Kantzian,45,114.0,89.0,24.0,31.0,9.0,1.0,1.0,21.0,5.0,3.0,19.0,21.0,45.0,3.0,1.0,2.0,11.0,0.0,14.0,20.0,0.7,0.348,0.465,0.629,1.094,129.0,0.135,0.435,0.442,0.009,0.184,0.167,0.017,0.905
2013,div1,ASA New York,asabrooklynavengers,gilbertomendozavf44,Gilberto Mendoza,45,149.0,122.0,37.0,47.0,6.0,3.0,2.0,30.0,13.0,4.0,22.0,22.0,65.0,2.0,0.0,3.0,11.0,1.0,28.0,22.0,1.273,0.385,0.477,0.623,1.1,130.0,0.123,0.446,0.507,0.013,0.148,0.148,0.0,1.0
2013,div1,ASA New York,asabrooklynavengers,hectorperez3fab,Hector Perez,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2013,div1,ASA New York,asabrooklynavengers,huascarpolanco3wpr,Huascar Polanco,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
