season,njcaa_division,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,benmcdown526,Ben McDow,9,31.0,21.0,7.0,8.0,0.0,0.0,2.0,6.0,2.0,1.0,6.0,7.0,14.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.381,0.548,0.762,1.31,113.0,0.0,0.462,0.333,0.065,0.226,0.194,0.032,0.857
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,bowmanhorn0040,Bowman Horn,6,14.0,12.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.25,0.357,0.417,0.774,67.0,0.083,0.375,0.4,0.0,0.286,0.071,0.215,0.25
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,cameroncampbellck3y,Cameron Campbell,16,64.0,53.0,11.0,13.0,2.0,2.0,2.0,11.0,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,,0.245,0.375,0.585,0.96,83.0,0.151,0.297,0.409,0.031,0.219,0.156,0.063,0.714
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,cameroncampbellg080,Cameron Campbell,15,60.0,49.0,9.0,10.0,2.0,1.0,2.0,7.0,1.0,0.0,10.0,13.0,20.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,,0.204,0.35,0.51,0.86,74.0,0.102,0.235,0.368,0.033,0.217,0.167,0.05,0.769
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,chasincasheyoa,Chasin Cash,19,85.0,67.0,14.0,15.0,2.0,0.0,4.0,16.0,2.0,0.0,9.0,18.0,29.0,8.0,1.0,0.0,6.0,0.0,2.0,5.0,0.4,0.224,0.376,0.522,0.898,78.0,0.03,0.244,0.357,0.047,0.212,0.106,0.106,0.5
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,cjrose2vok,C.J. Rose,19,86.0,71.0,14.0,23.0,2.0,0.0,5.0,18.0,0.0,0.0,5.0,12.0,40.0,9.0,0.0,1.0,7.0,0.0,1.0,3.0,0.333,0.324,0.43,0.662,1.092,95.0,0.028,0.327,0.281,0.058,0.14,0.058,0.082,0.417
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,colbyschachtner5nmx,Colby Schachtner,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,dallasdurdend4tq,Dallas Durden,5,13.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.083,0.154,0.083,0.237,21.0,0.0,0.111,1.0,0.0,0.231,0.077,0.154,0.333
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,drewrothschild76y0,Drew Rothschild,19,86.0,70.0,16.0,30.0,6.0,0.0,3.0,25.0,1.0,2.0,8.0,16.0,45.0,6.0,0.0,2.0,9.0,0.0,1.0,4.0,0.25,0.429,0.512,0.771,1.283,111.0,0.086,0.509,0.317,0.035,0.186,0.093,0.093,0.5
2024,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,harrisonchildersjx2l,Harrison Childers,6,17.0,16.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.25,0.294,0.375,0.669,58.0,0.062,0.444,0.6,0.0,0.412,0.059,0.353,0.143
