season,njcaa_division,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,andrewclarkc4fr,Andrew Clark,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,bengriffisbgbg,Ben Griffis,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,brettpottst97p,Brett Potts,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,brockrevelsdvl2,Brock Revels,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,cjrosef0jx,CJ Rose,64,184.0,158.0,26.0,49.0,4.0,3.0,9.0,45.0,3.0,1.0,20.0,43.0,86.0,3.0,0.0,3.0,16.0,1.0,6.0,3.0,2.0,0.31,0.391,0.646,1.037,104.0,0.082,0.367,0.27,0.049,0.234,0.109,0.125,0.465
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,colbymarchantj1br,Colby Marchant,64,62.0,52.0,11.0,18.0,3.0,0.0,2.0,12.0,2.0,0.0,8.0,13.0,27.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,,0.346,0.435,0.615,1.05,106.0,0.058,0.421,0.36,0.032,0.21,0.129,0.081,0.615
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,davislivingstonbucv,Davis Livingston,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,eastonwillisg38s,Easton Willis,64,119.0,105.0,18.0,30.0,5.0,0.0,1.0,15.0,5.0,0.0,11.0,24.0,38.0,2.0,0.0,1.0,6.0,1.0,2.0,4.0,0.5,0.286,0.361,0.419,0.78,78.0,0.048,0.358,0.405,0.008,0.202,0.092,0.11,0.458
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,garrettbradley6ik8,Garrett Bradley,64,190.0,159.0,34.0,48.0,9.0,1.0,4.0,26.0,9.0,2.0,19.0,27.0,71.0,11.0,0.0,1.0,14.0,1.0,6.0,9.0,0.667,0.302,0.411,0.535,0.946,95.0,0.075,0.341,0.405,0.021,0.142,0.1,0.042,0.704
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,granthall5w7s,Grant Hall,64,133.0,119.0,18.0,30.0,9.0,0.0,0.0,16.0,3.0,0.0,10.0,26.0,39.0,3.0,0.0,1.0,9.0,3.0,1.0,5.0,0.2,0.252,0.323,0.403,0.726,73.0,0.076,0.319,0.419,0.0,0.195,0.075,0.12,0.385
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,griffinrowel2v4,Griffin Rowe,64,72.0,65.0,11.0,21.0,5.0,0.0,0.0,6.0,2.0,1.0,6.0,16.0,26.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.323,0.389,0.477,0.866,87.0,0.077,0.429,0.393,0.0,0.222,0.083,0.139,0.375
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,hartgriffinlwu0,Hart Griffin,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,henrydaniels0v5z,Henry Daniels,64,194.0,164.0,42.0,57.0,9.0,1.0,10.0,39.0,6.0,1.0,24.0,46.0,98.0,5.0,0.0,1.0,20.0,1.0,5.0,3.0,1.667,0.348,0.443,0.72,1.163,117.0,0.073,0.431,0.421,0.052,0.237,0.124,0.113,0.522
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,jaydenchanceor4z,Jayden Chance,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,justinromejx2a,Justin Rome,64,90.0,79.0,21.0,20.0,5.0,0.0,0.0,7.0,0.0,0.0,9.0,22.0,25.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,2.0,0.253,0.333,0.38,0.713,72.0,0.063,0.351,0.7,0.0,0.244,0.1,0.144,0.409
2021,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,kentaviousvealh90b,Kentavious Veal,64,15.0,13.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.462,0.533,0.462,0.995,100.0,0.0,0.667,0.875,0.0,0.267,0.067,0.2,0.25
