date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 6,away,Clarendon,W,10-2,10,10,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 6,away,Clarendon,W,11-1,11,11,0,1,0,0,3.0,3,,,0.00,3,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 7,away,Clarendon,L,20-5,20,20,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 11,away,Dodge City,L,4-3,4,4,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 11,away,Dodge City,L,5-1,5,5,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 12,home,vs. McCook,L,10-0,10,10,0,0,0,0,2.0,5,4,3,13.50,1,1,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 19,away,Eastern Oklahoma State,L,12-2,12,12,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 19,away,Eastern Oklahoma State,L,10-4,10,10,0,0,1,0,2.1,5,5,3,11.57,1,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 20,away,Eastern Oklahoma State,L,4-1,4,4,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 20,away,Eastern Oklahoma State,L,14-3,14,14,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 26,home,John Wood,L,7-5,7,7,1,0,1,0,1.2,4,5,5,27.00,2,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Feb 26,home,vs. State Fair,W,8-4,8,8,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Mar 1,home,Cloud County,L,17-6,17,17,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
Mar 1,home,Cloud County,L,18-4,18,18,0,0,0,0,0.2,4,5,5,67.50,,1,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,teronwilliamsaenx,Teron Williams
