date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 26,away,Pima,L,11-1,11,11,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Jan 26,away,Pima,L,16-0,16,16,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Jan 27,away,Pima,L,11-0,11,11,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Jan 27,away,Pima,L,11-1,11,11,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Jan 29,away,Scottsdale,L,5-1,5,5,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 1,away,Glendale,W,6-5,6,6,0,1,0,1,2.0,1,,,0.00,,4,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 1,away,Glendale,L,7-6,7,7,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 2,away,Mesa,L,5-1,5,5,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 2,away,Mesa,W,5-3,5,5,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 5,away,Chandler-Gilbert,L,13-1,13,13,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 5,away,Chandler-Gilbert,L,4-2,4,4,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 8,away,Paradise Valley,L,3-0,3,3,0,0,0,0,1.0,2,,,0.00,,1,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 8,away,Paradise Valley,L,2-0,2,2,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 9,away,Paradise Valley,L,5-4,5,5,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Feb 9,away,Paradise Valley,L,3-2,3,3,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 1,home,vs. Salt Lake,L,10-3,10,10,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 1,home,vs. Salt Lake,L,5-0,5,5,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 2,home,vs. Salt Lake,L,6-3,6,6,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 2,home,vs. Salt Lake,L,4-2,4,4,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 8,home,vs. Utah State Eastern,,,,,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 8,home,vs. Utah State Eastern,,,,,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 9,home,vs. Utah State Eastern,,,,,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 9,home,vs. Utah State Eastern,,,,,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 15,home,vs. Southern Nevada,L,5-0,5,5,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 15,home,vs. Southern Nevada,L,9-1,9,9,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 16,home,Southern Nevada,,,,,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 16,home,Southern Nevada,,,,,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 22,away,Southern Idaho,L,2-1,2,2,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 22,away,Southern Idaho,L,7-6,7,7,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 23,away,Southern Idaho,L,4-2,4,4,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Mar 23,away,Southern Idaho,W,4-3,4,4,0,0,0,0,3.0,2,,,0.00,2,2,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 5,away,Salt Lake,L,11-1,11,11,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 5,away,Salt Lake,L,14-7,14,14,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 6,away,Salt Lake,L,3-0,3,3,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 6,away,Salt Lake,L,10-2,10,10,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 13,home,Utah State Eastern,L,12-4,12,12,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 13,home,Utah State Eastern,W,7-3,7,7,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 14,home,Utah State Eastern,W,4-2,4,4,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 14,home,Utah State Eastern,W,10-7,10,10,0,0,0,0,3.0,3,4,2,6.00,2,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 19,away,Southern Nevada,L,10-0,10,10,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 19,away,Southern Nevada,L,7-2,7,7,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 20,away,Southern Nevada,L,18-0,18,18,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 20,away,Southern Nevada,L,11-3,11,11,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 26,home,Southern Idaho,W,7-3,7,7,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 26,home,Southern Idaho,L,10-3,10,10,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 27,home,Southern Idaho,W,5-3,5,5,0,0,0,0,0.0,,,,0.00,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
Apr 27,home,Southern Idaho,L,15-3,15,15,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
May 9,home,vs. Utah State Eastern,W,10-2,10,10,,,,,,,,,,,,2019,2018-19,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,ajaydeminovsmm,AJay DeMino
