date,location,opponent,result,score,team_score,opp_score,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 1,away,Wallace-Dothan,L,4-3,4,4,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 1,away,Wallace-Dothan,L,12-5,12,12,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 3,away,Lagrange College JV,,,,,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 7,home,vs. Central Alabama,W,1-0,1,1,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 8,away,Gulf Coast State,L,7-0,7,7,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 9,home,vs. Wallace State,L,7-2,7,7,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 15,home,vs. Enterprise State,L,5-2,5,5,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 15,away,Lurleen B. Wallace,L,6-0,6,6,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 16,home,Southwestern Illinois,W,7-2,7,7,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 19,home,Thomas University JV,L,12-11,12,12,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 21,away,Chattahoochee Valley,,,,,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 22,away,Enterprise State,L,6-3,6,6,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 22,home,Lurleen B. Wallace,W,8-2,8,8,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 24,away,Thomas University JV,W,14-4,14,14,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 26,home,Chattahoochee Valley,,,,,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
Feb 27,home,brewton parker college jv,W,10-1,10,10,,,,,,,,,,,,2014,2013-14,div1,Andrew,andrewcollege,chaseslocumbfmna,Chase Slocumb
