season,njcaa_season,team,team_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2022,2021-22,ASA Miami,asacollegemiami,1378,34.0,9.0,24.0,0.0,1.0,447.0,322.0,275.0,0.854,188.0,326.0
2022,2021-22,ASA New York,asabrooklynavengers,1408,31.0,13.0,17.0,6.0,0.833,213.0,203.0,137.0,0.675,150.0,238.0
2022,2021-22,Abraham Baldwin,abrahambaldwinagriculturalcollege,1740,56.0,30.0,25.0,12.0,0.821,477.0,410.0,322.0,0.785,231.0,377.0
2022,2021-22,Allegany Maryland,alleganycollegeofmaryland,1782,27.0,27.0,17.0,2.0,0.957,341.0,271.0,222.0,0.819,182.0,309.0
2022,2021-22,Allen County,allencountycommunitycollege,2444,22.0,24.0,26.0,6.0,0.893,371.0,296.0,247.0,0.834,203.0,384.0
2022,2021-22,Alvin,alvincommunitycollege,1925,51.0,28.0,21.0,7.0,0.875,421.0,287.0,229.0,0.798,264.0,393.0
2022,2021-22,Andrew,andrewcollege,2337,54.0,24.0,30.0,8.0,0.871,440.0,380.0,295.0,0.776,220.0,327.0
2022,2021-22,Angelina,angelinacollege,2205,54.0,24.0,29.0,7.0,0.883,502.0,382.0,283.0,0.741,237.0,412.0
2022,2021-22,Anne Arundel,annearundelcommunitycollege,1428,48.0,10.0,37.0,4.0,0.922,441.0,424.0,321.0,0.757,229.0,233.0
2022,2021-22,Anoka-Ramsey,anokaramseycommunitycollege,1044,19.0,5.0,23.0,0.0,1.0,291.0,257.0,182.0,0.708,97.0,120.0
2022,2021-22,Arizona Western,arizonawesterncollege,1800,59.0,44.0,15.0,8.0,0.881,393.0,222.0,192.0,0.865,149.0,458.0
2022,2021-22,Atlantic Cape,atlanticcapecommunitycollege,1232,33.0,12.0,21.0,2.0,0.943,269.0,263.0,207.0,0.787,198.0,209.0
2022,2021-22,Barton,bartoncommunitycollege,2760,59.0,41.0,18.0,9.0,0.868,453.0,304.0,247.0,0.812,203.0,461.0
2022,2021-22,Baton Rouge,batonrougecommunitycollege,2340,57.0,27.0,29.0,5.0,0.918,516.0,371.0,306.0,0.825,247.0,399.0
2022,2021-22,Bay College,baycollege,1127,36.0,7.0,29.0,3.0,0.923,328.0,316.0,227.0,0.718,147.0,216.0
2022,2021-22,Bergen,bergencommunitycollege,1624,38.0,20.0,18.0,5.0,0.884,265.0,215.0,155.0,0.721,133.0,323.0
2022,2021-22,Bevill State,bevillstatecommunitycollege,1860,50.0,19.0,31.0,5.0,0.909,374.0,318.0,240.0,0.755,169.0,240.0
2022,2021-22,Bishop State,bishopstatecommunitycollege,1456,52.0,28.0,23.0,4.0,0.927,362.0,262.0,153.0,0.584,172.0,265.0
2022,2021-22,Bismarck State,bismarckstatecollege,1830,30.0,36.0,8.0,4.0,0.917,230.0,164.0,130.0,0.793,119.0,356.0
2022,2021-22,Black Hawk-Moline,blackhawkcollegemoline,1947,55.0,35.0,20.0,7.0,0.887,367.0,257.0,188.0,0.732,170.0,387.0
2022,2021-22,Blinn,blinncollege,2223,49.0,15.0,34.0,7.0,0.875,449.0,345.0,292.0,0.846,217.0,295.0
2022,2021-22,Borough of Manhattan,boroughofmanhattancommunitycollege,408,20.0,0.0,19.0,0.0,1.0,253.0,366.0,293.0,0.801,172.0,69.0
2022,2021-22,Bossier Parish,bossierparishcommunitycollege,1998,54.0,35.0,18.0,5.0,0.914,433.0,301.0,242.0,0.804,187.0,370.0
2022,2021-22,Bronx,bronxcommunitycollege,336,21.0,4.0,18.0,0.0,1.0,238.0,299.0,226.0,0.756,145.0,110.0
2022,2021-22,Brookdale,brookdalecommunitycollege,2178,55.0,34.0,20.0,4.0,0.931,425.0,357.0,271.0,0.759,225.0,404.0
2022,2021-22,Brunswick,brunswickcommunitycollege,1792,49.0,36.0,16.0,7.0,0.881,369.0,237.0,195.0,0.823,193.0,452.0
2022,2021-22,Bryant & Stratton (Ohio),bryantstrattonohio,2340,42.0,30.0,14.0,3.0,0.936,304.0,218.0,177.0,0.812,183.0,330.0
2022,2021-22,Bryant & Stratton (VA),bryantstrattoncollegeva,3216,54.0,27.0,26.0,6.0,0.898,411.0,334.0,267.0,0.799,294.0,502.0
2022,2021-22,Bryant & Stratton College (WI),bryantstrattoncollegewi,2394,44.0,17.0,17.0,1.0,0.971,320.0,233.0,178.0,0.764,143.0,291.0
2022,2021-22,Butler,butlercommunitycollegeks,1920,59.0,35.0,23.0,12.0,0.829,500.0,369.0,306.0,0.829,232.0,499.0
