season,njcaa_season,team,team_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2024,2023-24,Northwest-Shoals Community College,northwestshoalscommunitycollege,375,2.0,14.0,4.0,5.0,0.783,166.0,115.0,94.0,0.817,189.23,94.0
2024,2023-24,Nunez,nunezcommunitycollege,316,24.0,11.0,13.0,1.0,0.96,155.0,120.0,100.0,0.833,110.21,117.0
2024,2023-24,Oakton,oaktoncommunitycollege,169,11.0,7.0,4.0,3.0,0.786,78.0,46.0,40.0,0.87,71.28,45.0
2024,2023-24,Ocean County,oceancountycollege,145,2.0,7.0,2.0,0.0,1.0,83.0,61.0,37.0,0.607,46.94,27.0
2024,2023-24,Odessa,odessacollege,378,26.0,9.0,13.0,1.0,0.957,239.0,185.0,159.0,0.859,184.84,118.0
2024,2023-24,Olive-Harvey,oliveharveycollege,210,2.0,8.0,7.0,1.0,0.938,119.0,96.0,68.0,0.708,92.83,72.0
2024,2023-24,Olney Central,olneycentralcollege,298,0.0,7.0,2.0,1.0,0.9,187.0,129.0,94.0,0.729,174.02,85.0
2024,2023-24,Onondaga,onondagacommunitycollege,103,2.0,6.0,1.0,1.0,0.875,53.0,39.0,30.0,0.769,52.03,32.0
2024,2023-24,Orange County,orangecountycommunitycollege,125,5.0,3.0,8.0,0.0,1.0,118.0,115.0,94.0,0.817,87.58,46.0
2024,2023-24,Otero,oterocollege,188,14.0,9.0,6.0,6.0,0.714,107.0,101.0,74.0,0.733,79.46,91.0
2024,2023-24,Owens,owenscommunitycollege,211,7.0,8.0,9.0,0.0,1.0,138.0,107.0,74.0,0.692,127.21,81.0
2024,2023-24,Palm Beach State,palmbeachstatecollege,354,26.0,15.0,11.0,5.0,0.839,199.0,160.0,125.0,0.781,152.11,125.0
2024,2023-24,Panola,panolacollege,389,35.0,13.0,18.0,4.0,0.886,256.0,183.0,144.0,0.787,206.73,141.0
2024,2023-24,Paradise Valley,paradisevalleycommunitycollege,509,0.0,17.0,16.0,7.0,0.825,284.0,176.0,124.0,0.705,211.2,103.0
2024,2023-24,Paris,parisjuniorcollege,371,29.0,18.0,10.0,5.0,0.848,199.0,131.0,105.0,0.802,158.96,105.0
2024,2023-24,Parkland,parklandcollege,274,14.0,11.0,8.0,3.0,0.864,140.0,123.0,104.0,0.846,155.45,88.0
2024,2023-24,Pasco-Hernando State,pascohernandostatecollege,390,31.0,17.0,14.0,4.0,0.886,233.0,137.0,101.0,0.737,179.76,119.0
2024,2023-24,Patrick & Henry,patrickhenrycommunitycollege,323,22.0,16.0,5.0,3.0,0.875,164.0,128.0,106.0,0.828,166.48,128.0
2024,2023-24,Pearl River,pearlrivercommunitycollege,505,35.0,29.0,5.0,6.0,0.85,219.0,99.0,73.0,0.737,176.05,122.0
2024,2023-24,Pensacola State,pensacolastatecollege,393,32.0,26.0,5.0,6.0,0.838,222.0,150.0,110.0,0.733,224.49,121.0
2024,2023-24,Phoenix,phoenixcollege,550,27.0,15.0,16.0,5.0,0.861,252.0,205.0,139.0,0.678,243.01,164.0
2024,2023-24,Pima,pimacommunitycollege,493,34.0,26.0,8.0,6.0,0.85,208.0,103.0,67.0,0.65,124.34,85.0
2024,2023-24,Pitt,pittcommunitycollege,296,18.0,9.0,10.0,2.0,0.905,138.0,133.0,107.0,0.805,141.84,101.0
2024,2023-24,Polk State,polkstatecollege,508,36.0,20.0,15.0,10.0,0.778,316.0,170.0,140.0,0.824,249.61,110.0
