season,njcaa_season,team,team_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2015,2014-15,ASA New York,asabrooklynavengers,1590,41.0,29.0,12.0,6.0,0.872,254.0,171.0,100.0,0.585,144.0,305.0
2015,2014-15,Abraham Baldwin,abrahambaldwinagriculturalcollege,1680,57.0,27.0,28.0,6.0,0.902,468.0,275.0,216.0,0.785,179.0,267.0
2015,2014-15,Allegany Maryland,alleganycollegeofmaryland,1380,41.0,24.0,20.0,5.0,0.898,411.0,307.0,251.0,0.818,188.0,218.0
2015,2014-15,Allegheny County-Boyce,ccofalleghenycountyboyce,240,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Allegheny County-South,ccofalleghenycountysouth,666,2.0,6.0,10.0,2.0,0.889,174.0,172.0,126.0,0.733,124.0,90.0
2015,2014-15,Allen County,allencountycommunitycollege,1518,4.0,14.0,27.0,1.0,0.976,434.0,376.0,246.0,0.654,219.0,182.0
2015,2014-15,Alvin,alvincommunitycollege,1568,12.0,37.0,13.0,11.0,0.82,391.0,219.0,150.0,0.685,163.0,359.0
2015,2014-15,Andrew,andrewcollege,1344,52.0,23.0,29.0,12.0,0.812,405.0,239.0,175.0,0.732,172.0,284.0
2015,2014-15,Angelina,angelinacollege,1512,51.0,21.0,28.0,4.0,0.925,424.0,259.0,213.0,0.822,145.0,241.0
2015,2014-15,Anne Arundel,annearundelcommunitycollege,1708,44.0,13.0,31.0,2.0,0.957,382.0,288.0,221.0,0.767,154.0,221.0
2015,2014-15,Anoka-Ramsey,anokaramseycommunitycollege,666,1.0,0.0,1.0,0.0,1.0,5.0,6.0,6.0,1.0,9.0,1.0
2015,2014-15,Arizona Western,arizonawesterncollege,1953,54.0,32.0,21.0,8.0,0.869,429.0,258.0,203.0,0.787,174.0,380.0
2015,2014-15,Arkansas Baptist,arkansasbaptistcollege,1248,5.0,16.0,21.0,3.0,0.925,346.0,257.0,204.0,0.794,181.0,291.0
2015,2014-15,Atlantic Cape,atlanticcapecommunitycollege,500,1.0,7.0,12.0,0.0,1.0,156.0,125.0,77.0,0.616,67.0,102.0
2015,2014-15,Barton,bartoncommunitycollege,1972,51.0,25.0,27.0,10.0,0.839,462.0,323.0,225.0,0.697,158.0,306.0
2015,2014-15,Baton Rouge,batonrougecommunitycollege,1911,49.0,21.0,16.0,1.0,0.974,369.0,248.0,204.0,0.823,184.0,253.0
2015,2014-15,Bergen,bergencommunitycollege,1269,12.0,22.0,13.0,3.0,0.921,296.0,189.0,141.0,0.746,145.0,235.0
2015,2014-15,Bishop State,bishopstatecommunitycollege,1377,1.0,15.0,30.0,2.0,0.957,396.0,317.0,220.0,0.694,190.0,199.0
2015,2014-15,Bismarck State,bismarckstatecollege,792,44.0,20.0,24.0,0.0,1.0,403.0,316.0,217.0,0.687,158.0,150.0
2015,2014-15,Black Hawk-Moline,blackhawkcollegemoline,1943,59.0,37.0,22.0,3.0,0.952,371.0,203.0,140.0,0.69,156.0,404.0
2015,2014-15,Blinn,blinncollege,1674,53.0,28.0,26.0,5.0,0.915,487.0,265.0,213.0,0.804,173.0,348.0
2015,2014-15,Borough of Manhattan,boroughofmanhattancommunitycollege,680,26.0,2.0,24.0,0.0,1.0,249.0,350.0,298.0,0.851,224.0,89.0
2015,2014-15,Bossier Parish,bossierparishcommunitycollege,1508,5.0,17.0,27.0,10.0,0.815,417.0,312.0,228.0,0.731,170.0,244.0
2015,2014-15,Bronx,bronxcommunitycollege,624,17.0,14.0,12.0,1.0,0.963,213.0,188.0,132.0,0.702,91.0,141.0
2015,2014-15,Brookdale,brookdalecommunitycollege,1856,19.0,27.0,21.0,1.0,0.98,356.0,237.0,163.0,0.688,115.0,304.0
2015,2014-15,Broward,browardcollege,1430,55.0,31.0,24.0,9.0,0.859,447.0,235.0,191.0,0.813,175.0,444.0
2015,2014-15,Brown Mackie,brownmackiecollege,1512,46.0,8.0,17.0,2.0,0.926,434.0,380.0,306.0,0.805,185.0,183.0
