No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
1,Zayd Brannigan,IF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/zaydbrannigan8pvm,zaydbrannigan8pvm,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
2,Austin Tienda,OF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/austintienda0nto,austintienda0nto,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
3,Mitchell Walker,IF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/mitchellwalkergega,mitchellwalkergega,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
4,Mick Moody,IF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/mickmoodyaufz,mickmoodyaufz,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
6,Conner Todaro,OF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/connertodaro9vdm,connertodaro9vdm,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
7,Ethan Anderson,UT/P,S,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ethanandersonmxog,ethanandersonmxog,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
8,Ben Olson,C/1B,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/benolsonoier,benolsonoier,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
9,Adam Love,OF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/adamlovebr87,adamlovebr87,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
10,Conner Perry,RHP,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/connerperryva0f,connerperryva0f,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
11,Austin Slate,OF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/austinslatehcvu,austinslatehcvu,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
13,Zack Valentine,RHP,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/zackvalentinedstm,zackvalentinedstm,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
14,Gage Vailes,P,S,https://www.njcaa.org//sports/bsb/2021-22/div1/players/gagevailesgx53,gagevailesgx53,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
15,Nate Shipley,OF/P,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/nateshipleyunps,nateshipleyunps,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
16,Max Kops,OF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/maxkopsx67c,maxkopsx67c,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
18,Zachary Murray,P,S,https://www.njcaa.org//sports/bsb/2021-22/div1/players/zacharymurrayhvnc,zacharymurrayhvnc,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
19,Garrett Sagro,LHP,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/garrettsagrovbaj,garrettsagrovbaj,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
20,Pat Walker,C,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/patwalkerisou,patwalkerisou,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
21,Keegan Pulford-Thorpe,P,S,https://www.njcaa.org//sports/bsb/2021-22/div1/players/keeganpulfordthorpe4g7m,keeganpulfordthorpe4g7m,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
22,Caleb Garner,RHP,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/calebgarnerc6w7,calebgarnerc6w7,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
23,Chris Gaiter,RHP/1B,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/chrisgaiterirv9,chrisgaiterirv9,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
26,Jacob Ryan,RHP,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jacobryanr8dy,jacobryanr8dy,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
27,Bubba Luke,RHP,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/bubbalukezlkj,bubbalukezlkj,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
28,Parker Poteet,IF,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/parkerpoteet0v58,parkerpoteet0v58,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
31,Hal Stelljes,LHP,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/halstelljespf22,halstelljespf22,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
32,Cason Rich,RHP,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/casonrich6ex4,casonrich6ex4,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
33,David Smith,C,F,https://www.njcaa.org//sports/bsb/2021-22/div1/players/davidsmithog0u,davidsmithog0u,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
34,Hunter Goodwin,P,S,https://www.njcaa.org//sports/bsb/2021-22/div1/players/huntergoodwin0tsa,huntergoodwin0tsa,Georgia Highlands,2021-22,div1,georgiahighlandscollege,2022
