,No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
0,1,Jose Lojo,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/joselojoxqq0,joselojoxqq0,ASA New York,2021-22,div1,asabrooklynavengers,2022
1,2,Erickson Matos,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ericksonmatosrsgq,ericksonmatosrsgq,ASA New York,2021-22,div1,asabrooklynavengers,2022
2,3,Angel E Ortiz,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/angeleortiz5hy6,angeleortiz5hy6,ASA New York,2021-22,div1,asabrooklynavengers,2022
3,4,Jesus Puello,LHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jesuspuelloh2vu,jesuspuelloh2vu,ASA New York,2021-22,div1,asabrooklynavengers,2022
4,6,Elquin Rodriguez,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/elquinrodriguezen8g,elquinrodriguezen8g,ASA New York,2021-22,div1,asabrooklynavengers,2022
5,7,Fran C Gross,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/francgross4phb,francgross4phb,ASA New York,2021-22,div1,asabrooklynavengers,2022
6,9,Michael J Montero,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/michaeljmonterobedp,michaeljmonterobedp,ASA New York,2021-22,div1,asabrooklynavengers,2022
7,10,Marlon Pertuz,IF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/marlonpertuzm4dz,marlonpertuzm4dz,ASA New York,2021-22,div1,asabrooklynavengers,2022
8,11,Victor Germosen,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/victorgermosen4xkj,victorgermosen4xkj,ASA New York,2021-22,div1,asabrooklynavengers,2022
9,12,Ivan Santos,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ivansantos4gh0,ivansantos4gh0,ASA New York,2021-22,div1,asabrooklynavengers,2022
10,13,Robert Nunez,LHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/robertnunez55gg,robertnunez55gg,ASA New York,2021-22,div1,asabrooklynavengers,2022
11,14,Daniel German,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/danielgermanwf1f,danielgermanwf1f,ASA New York,2021-22,div1,asabrooklynavengers,2022
12,16,Andres Sanchez,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/andressanchezst4t,andressanchezst4t,ASA New York,2021-22,div1,asabrooklynavengers,2022
13,17,Juan D Morel,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/juandmorelyz08,juandmorelyz08,ASA New York,2021-22,div1,asabrooklynavengers,2022
14,18,Alexander Cuevas,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/alexandercuevasfc3l,alexandercuevasfc3l,ASA New York,2021-22,div1,asabrooklynavengers,2022
15,19,Louis Winter,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/louiswinterye7l,louiswinterye7l,ASA New York,2021-22,div1,asabrooklynavengers,2022
16,20,Pablo Martinez,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/pablomartinezcshj,pablomartinezcshj,ASA New York,2021-22,div1,asabrooklynavengers,2022
17,21,Samuel DeLaRosa,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/samueldelarosajggs,samueldelarosajggs,ASA New York,2021-22,div1,asabrooklynavengers,2022
18,22,Waldelmar Mateo,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/waldelmarmateod8zm,waldelmarmateod8zm,ASA New York,2021-22,div1,asabrooklynavengers,2022
19,23,Johan Sandoval,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/johansandovalpnqv,johansandovalpnqv,ASA New York,2021-22,div1,asabrooklynavengers,2022
20,24,Fabio Veras,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/fabioverasr2cw,fabioverasr2cw,ASA New York,2021-22,div1,asabrooklynavengers,2022
21,25,Ricardo Cordero,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ricardocorderom4vn,ricardocorderom4vn,ASA New York,2021-22,div1,asabrooklynavengers,2022
22,27,Jose Perez,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/joseperezgxtz,joseperezgxtz,ASA New York,2021-22,div1,asabrooklynavengers,2022
23,30,Angel Luciano,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/angellucianoxhvo,angellucianoxhvo,ASA New York,2021-22,div1,asabrooklynavengers,2022
24,31,Johansel Gomez,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/johanselgomezkhz8,johanselgomezkhz8,ASA New York,2021-22,div1,asabrooklynavengers,2022
25,33,Mayker Rodriguez,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/maykerrodriguezshhw,maykerrodriguezshhw,ASA New York,2021-22,div1,asabrooklynavengers,2022
26,38,Luis D Rodriguez,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/luisdrodriguezjd2o,luisdrodriguezjd2o,ASA New York,2021-22,div1,asabrooklynavengers,2022
27,39,Miguel Garcia,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/miguelgarcia05sb,miguelgarcia05sb,ASA New York,2021-22,div1,asabrooklynavengers,2022
28,41,Omar Santos Rodriguez,LHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/omarsantosrodriguezjvyw,omarsantosrodriguezjvyw,ASA New York,2021-22,div1,asabrooklynavengers,2022
