No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
1,Austin Young,IF,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/austinyoung4880,austinyoung4880,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
2,Tyler Mauldin,IF,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/tylermauldin5jpw,tylermauldin5jpw,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
3,Braden Cobb,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/bradencobbx5up,bradencobbx5up,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
4,Luke Stamba,OF,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/lukestambawwbq,lukestambawwbq,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
5,Triston Todorowski,P,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/tristontodorowskixzsc,tristontodorowskixzsc,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
6,Cooper Prince,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/cooperprincedqo5,cooperprincedqo5,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
7,Julian Sauger,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/juliansauger4xgi,juliansauger4xgi,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
8,Ryan Godfrey,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/ryangodfreyf9ws,ryangodfreyf9ws,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
9,Jarren Wright,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/jarrenwright4m0l,jarrenwright4m0l,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
10,Lawrence Hammonds,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/lawrencehammonds2481,lawrencehammonds2481,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
11,Cole Watkins,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/colewatkinsuvwt,colewatkinsuvwt,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
12,Mason Cooper,C,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/masoncooperq1f3,masoncooperq1f3,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
13,Bryce Mohon,P,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/brycemohon16td,brycemohon16td,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
15,Carter Frederick,OF,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/carterfrederickv8i2,carterfrederickv8i2,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
17,Skylar Jones,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/skylarjoneso6mi,skylarjoneso6mi,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
18,Jeb Bartle,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/jebbartlezh52,jebbartlezh52,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
19,Cason Firth,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/casonfirthonyf,casonfirthonyf,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
20,Matthew Williams,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/matthewwilliamseyyo,matthewwilliamseyyo,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
21,Coby Wilkerson,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/cobywilkersonrxnb,cobywilkersonrxnb,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
22,Brooks Hardie,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/brookshardiezk84,brookshardiezk84,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
23,Logan Sims,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/logansims91q2,logansims91q2,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
24,Trey Puckett,P,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/treypuckettnizr,treypuckettnizr,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
25,Cody Williams,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/codywilliamstfiq,codywilliamstfiq,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
26,Blake Robinson,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/blakerobinsone9vf,blakerobinsone9vf,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
27,Luke Lyon,P,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/lukelyon0xjy,lukelyon0xjy,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
29,Evan Rightnowar,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/evanrightnowarpmvt,evanrightnowarpmvt,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
30,Jarett Mason,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/jarettmasonxc3d,jarettmasonxc3d,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
32,Carter Fink,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/carterfinknomm,carterfinknomm,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
34,Samuel Cosby,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/samuelcosbyuexk,samuelcosbyuexk,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
35,Noah Lam,IF,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/noahlamnoj3,noahlamnoj3,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
39,Jacob Floyd,P,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/jacobfloydrie6,jacobfloydrie6,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
40,Coy Martin,,So,https://www.njcaa.org/sports/bsb/2021-22/div1/players/coymartin3yqf,coymartin3yqf,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
43,Aiden Rhodes,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/aidenrhodes6ozi,aidenrhodes6ozi,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
44,Matthew Shook,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/matthewshookc5mg,matthewshookc5mg,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
45,William Tarpley,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/williamtarpleydvyl,williamtarpleydvyl,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
46,Evan Steckmesser,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/evansteckmessermzw4,evansteckmessermzw4,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
48,Chaz Hickman,,Fr,https://www.njcaa.org/sports/bsb/2021-22/div1/players/chazhickmanyv6w,chazhickmanyv6w,Snead State,2021-22,div1,sneadstatecommunitycollege,2022
