,No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
0,1,Harrison Stout,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/harrisonstoutrzhp,harrisonstoutrzhp,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
1,2,Cam Robinson,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/camrobinson3kaf,camrobinson3kaf,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
2,3,Baker Wilson,P,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/bakerwilsonataz,bakerwilsonataz,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
3,4,Parker Wells,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/parkerwellsgu4p,parkerwellsgu4p,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
4,5,Walt Tucker,INF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/walttuckerz2sh,walttuckerz2sh,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
5,6,Cody Sharp,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/codysharpte1s,codysharpte1s,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
6,7,Luke Barnwell,INF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/lukebarnwellsw23,lukebarnwellsw23,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
7,8,Zac Durham,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/zacdurhamw6wv,zacdurhamw6wv,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
8,9,Cristian Lopez,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/cristianlopez6n24,cristianlopez6n24,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
9,10,Kaleb Allen,P,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/kaleballenzizo,kaleballenzizo,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
10,12,Brody Cook,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/brodycooky5yk,brodycooky5yk,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
11,13,Tyrik Sykes,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/tyriksykes0fs7,tyriksykes0fs7,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
12,14,Cale Crews,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/calecrewstnol,calecrewstnol,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
13,15,Brody Bickerstaff,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/brodybickerstaffb5ti,brodybickerstaffb5ti,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
14,16,Seth Harris,P/INF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/sethharristgqd,sethharristgqd,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
15,18,Trenton Nay,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/trentonnay7nqr,trentonnay7nqr,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
16,19,DJ Leathers,INF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/djleatherstrur,djleatherstrur,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
17,20,John Miller Lawson,1B,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/johnmillerlawsondezx,johnmillerlawsondezx,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
18,21,Caleb Williams,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/calebwilliams239u,calebwilliams239u,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
19,22,Ketch Jones,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ketchjones8d3q,ketchjones8d3q,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
20,23,Colton McCaleb,P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/coltonmccalebha60,coltonmccalebha60,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
21,24,Rye McGlothin,OF/INF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ryemcglothin0t18,ryemcglothin0t18,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
22,25,Jackson Elkins,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jacksonelkinsmqr4,jacksonelkinsmqr4,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
23,26,Peyton Thomasson,INF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/peytonthomassonhkt4,peytonthomassonhkt4,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
24,27,Wesley Marchman,INF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/wesleymarchmanqv9v,wesleymarchmanqv9v,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
25,28,Griffin Busby,P,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/griffinbusby2ba7,griffinbusby2ba7,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
26,31,JT McGregor,P,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jtmcgregorecct,jtmcgregorecct,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
27,42,Josh Davis,SS,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/joshdavispi2n,joshdavispi2n,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
28,44,Brylin Crumpton,P,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/brylincrumpton895z,brylincrumpton895z,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
29,49,Blake Burgess,P,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/blakeburgessdujt,blakeburgessdujt,Bevill State,2021-22,div1,bevillstatecommunitycollege,2022
