,No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
0,1,Joel Nieves,INF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/joelnievest5kr,joelnievest5kr,Barton,2021-22,div1,bartoncommunitycollege,2022
1,3,Colter Maldonado,INF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/coltermaldonadon3xh,coltermaldonadon3xh,Barton,2021-22,div1,bartoncommunitycollege,2022
2,4,Alex Rodgers,OF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/alexrodgersyzbe,alexrodgersyzbe,Barton,2021-22,div1,bartoncommunitycollege,2022
3,5,Ricardo Sanchez,IF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ricardosanchez4wye,ricardosanchez4wye,Barton,2021-22,div1,bartoncommunitycollege,2022
4,6,Brock Merkel,C,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/brockmerkel8lej,brockmerkel8lej,Barton,2021-22,div1,bartoncommunitycollege,2022
5,7,Riley Silva,OF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/rileysilvalsme,rileysilvalsme,Barton,2021-22,div1,bartoncommunitycollege,2022
6,8,Shawn Marquis,OF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/shawnmarquisvh8e,shawnmarquisvh8e,Barton,2021-22,div1,bartoncommunitycollege,2022
7,9,Carson Cornelius,RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/carsoncorneliuses6s,carsoncorneliuses6s,Barton,2021-22,div1,bartoncommunitycollege,2022
8,10,Ethan Haufler,UTL,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ethanhaufler5wtg,ethanhaufler5wtg,Barton,2021-22,div1,bartoncommunitycollege,2022
9,11,Tegan Cain,RHP/INF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/tegancainku7d,tegancainku7d,Barton,2021-22,div1,bartoncommunitycollege,2022
10,12,Owen Reynolds,LHP/OF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/owenreynolds8ieh,owenreynolds8ieh,Barton,2021-22,div1,bartoncommunitycollege,2022
11,13,Jace Stewart,INF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jacestewarti182,jacestewarti182,Barton,2021-22,div1,bartoncommunitycollege,2022
12,14,Jackson Hartley,C,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jacksonhartleyctfp,jacksonhartleyctfp,Barton,2021-22,div1,bartoncommunitycollege,2022
13,15,Cade Kohlmeier,RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/cadekohlmeierdai9,cadekohlmeierdai9,Barton,2021-22,div1,bartoncommunitycollege,2022
14,16,Ben Cordova,OF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/bencordovaqcrk,bencordovaqcrk,Barton,2021-22,div1,bartoncommunitycollege,2022
15,17,Hunter Hesseltine,LHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/hunterhesseltine6n7n,hunterhesseltine6n7n,Barton,2021-22,div1,bartoncommunitycollege,2022
16,18,Chandler Miller,RHP/OF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/chandlermiller86j5,chandlermiller86j5,Barton,2021-22,div1,bartoncommunitycollege,2022
17,19,Bryson Schultz,RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/brysonschultz955b,brysonschultz955b,Barton,2021-22,div1,bartoncommunitycollege,2022
18,20,Zach Thornton,LHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/zachthornton1bwx,zachthornton1bwx,Barton,2021-22,div1,bartoncommunitycollege,2022
19,21,Ian Lanik,RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ianlanikfkup,ianlanikfkup,Barton,2021-22,div1,bartoncommunitycollege,2022
20,22,Caden Bressler,INF/RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/cadenbresslerushs,cadenbresslerushs,Barton,2021-22,div1,bartoncommunitycollege,2022
21,23,Jordan Ellison,RHP/UTL,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jordanellisonjvhp,jordanellisonjvhp,Barton,2021-22,div1,bartoncommunitycollege,2022
22,24,Connor Allen,C,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/connorallenzxmc,connorallenzxmc,Barton,2021-22,div1,bartoncommunitycollege,2022
23,25,Beau Baumgardner,UTIL,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/beaubaumgardner010k,beaubaumgardner010k,Barton,2021-22,div1,bartoncommunitycollege,2022
24,26,Hollis Huff,LHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/hollishuff2en6,hollishuff2en6,Barton,2021-22,div1,bartoncommunitycollege,2022
25,27,Jaden Wiley,UTIL,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jadenwiley43dy,jadenwiley43dy,Barton,2021-22,div1,bartoncommunitycollege,2022
26,28,Logan Redeker,LHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/loganredekerrr1q,loganredekerrr1q,Barton,2021-22,div1,bartoncommunitycollege,2022
27,30,Hunter Jones,RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/hunterjones6eqh,hunterjones6eqh,Barton,2021-22,div1,bartoncommunitycollege,2022
28,31,Matt Nedved,LHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/mattnedvedolz1,mattnedvedolz1,Barton,2021-22,div1,bartoncommunitycollege,2022
29,32,Tanner Schrag,UTIL,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/tannerschrag6ljg,tannerschrag6ljg,Barton,2021-22,div1,bartoncommunitycollege,2022
30,33,Kael Dumont,RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/kaeldumontkq69,kaeldumontkq69,Barton,2021-22,div1,bartoncommunitycollege,2022
31,34,Bryan Bartels,RHP/1B,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/bryanbartelsdohv,bryanbartelsdohv,Barton,2021-22,div1,bartoncommunitycollege,2022
32,35,Tyrus Riley,RHP/INF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/tyrusrileyxwub,tyrusrileyxwub,Barton,2021-22,div1,bartoncommunitycollege,2022
33,37,David Stuart,RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/davidstuartluwk,davidstuartluwk,Barton,2021-22,div1,bartoncommunitycollege,2022
34,38,Dryden Howse,IF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/drydenhowse9qn6,drydenhowse9qn6,Barton,2021-22,div1,bartoncommunitycollege,2022
35,40,Henry Hayman,IF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/henryhayman9rvt,henryhayman9rvt,Barton,2021-22,div1,bartoncommunitycollege,2022
36,41,Logan Phillips,LHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/loganphillips7392,loganphillips7392,Barton,2021-22,div1,bartoncommunitycollege,2022
37,42,Wade Reynolds,INF,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/wadereynoldsadrr,wadereynoldsadrr,Barton,2021-22,div1,bartoncommunitycollege,2022
38,43,Ivan Cox,UTIL,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/ivancoxgoom,ivancoxgoom,Barton,2021-22,div1,bartoncommunitycollege,2022
39,44,Kade Walker,RHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/kadewalkerwdod,kadewalkerwdod,Barton,2021-22,div1,bartoncommunitycollege,2022
