,No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
0,1,Luis Fernandez,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/luisfernandezqtxg,luisfernandezqtxg,Arizona Western,2021-22,div1,arizonawesterncollege,2022
1,2,Derek Suliz,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/dereksuliz9oeq,dereksuliz9oeq,Arizona Western,2021-22,div1,arizonawesterncollege,2022
2,3,Josh Cleggett,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/joshcleggettbcwk,joshcleggettbcwk,Arizona Western,2021-22,div1,arizonawesterncollege,2022
3,4,Anderson Guzman,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/andersonguzmanjjp1,andersonguzmanjjp1,Arizona Western,2021-22,div1,arizonawesterncollege,2022
4,7,Wesley Estrella,INF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/wesleyestrellavj56,wesleyestrellavj56,Arizona Western,2021-22,div1,arizonawesterncollege,2022
5,8,Ben Fiernzi,INF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/benfiernzilkix,benfiernzilkix,Arizona Western,2021-22,div1,arizonawesterncollege,2022
6,9,Dylan Edmands,INF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/dylanedmandsjda1,dylanedmandsjda1,Arizona Western,2021-22,div1,arizonawesterncollege,2022
7,10,Chris Ehavarria,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/chrisehavarriawjaj,chrisehavarriawjaj,Arizona Western,2021-22,div1,arizonawesterncollege,2022
8,11,Tyler LeRoy,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/tylerleroy01jl,tylerleroy01jl,Arizona Western,2021-22,div1,arizonawesterncollege,2022
9,12,Roger Rang,LHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/rogerrangx1n0,rogerrangx1n0,Arizona Western,2021-22,div1,arizonawesterncollege,2022
10,13,Jack Waters,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jackwaters0zu7,jackwaters0zu7,Arizona Western,2021-22,div1,arizonawesterncollege,2022
11,14,Noah Marcelo,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/noahmarcelo8d1l,noahmarcelo8d1l,Arizona Western,2021-22,div1,arizonawesterncollege,2022
12,15,Michael Minaya,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/michaelminayaglit,michaelminayaglit,Arizona Western,2021-22,div1,arizonawesterncollege,2022
