,No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
0,1,Anthony Bautista,INF/OF,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/anthonybautista3lr1,anthonybautista3lr1,Andrew,2021-22,div1,andrewcollege,2022
1,2,Barron Northorp,C,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/barronnorthorpdrhw,barronnorthorpdrhw,Andrew,2021-22,div1,andrewcollege,2022
2,3,Brent Burford,2B/OF,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/brentburford60ol,brentburford60ol,Andrew,2021-22,div1,andrewcollege,2022
3,4,Garrett Green,LHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/garrettgreen1kw4,garrettgreen1kw4,Andrew,2021-22,div1,andrewcollege,2022
4,5,Spencer Middleton,MIF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/spencermiddletonx3bc,spencermiddletonx3bc,Andrew,2021-22,div1,andrewcollege,2022
5,6,Gavin Steptoe,LHP,FR,https://www.njcaa.org//sports/bsb/2021-22/div1/players/gavinsteptoehzyh,gavinsteptoehzyh,Andrew,2021-22,div1,andrewcollege,2022
6,7,Caleb Granger,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/calebgrangerf7m6,calebgrangerf7m6,Andrew,2021-22,div1,andrewcollege,2022
7,8,Kyle Kuramoto,OF,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/kylekuramotojyfb,kylekuramotojyfb,Andrew,2021-22,div1,andrewcollege,2022
8,9,Alex Blount,RHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/alexblountljmm,alexblountljmm,Andrew,2021-22,div1,andrewcollege,2022
9,10,JT Whatley,1B/3B,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jtwhatleydufz,jtwhatleydufz,Andrew,2021-22,div1,andrewcollege,2022
10,11,Brayden Eavenson,OF,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/braydeneavensonsviw,braydeneavensonsviw,Andrew,2021-22,div1,andrewcollege,2022
11,12,Austin Waller,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/austinwallerezfe,austinwallerezfe,Andrew,2021-22,div1,andrewcollege,2022
12,13,Jack Hay,C/OF/1B,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jackhaypd0t,jackhaypd0t,Andrew,2021-22,div1,andrewcollege,2022
13,14,Seth Crowe,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/sethcrowe4956,sethcrowe4956,Andrew,2021-22,div1,andrewcollege,2022
14,15,Logan Sharpton,LHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/logansharpton2azx,logansharpton2azx,Andrew,2021-22,div1,andrewcollege,2022
15,16,Ben Epperley,RHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/benepperley96me,benepperley96me,Andrew,2021-22,div1,andrewcollege,2022
16,17,Colton Harrell,C/1B,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/coltonharrell5x3j,coltonharrell5x3j,Andrew,2021-22,div1,andrewcollege,2022
17,18,Andrew Parr,RHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/andrewparrbpsa,andrewparrbpsa,Andrew,2021-22,div1,andrewcollege,2022
18,19,Noah Gilbert,LHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/noahgilbert8pfc,noahgilbert8pfc,Andrew,2021-22,div1,andrewcollege,2022
19,20,Ben Crawley,MIF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/bencrawley8mtx,bencrawley8mtx,Andrew,2021-22,div1,andrewcollege,2022
20,21,Chandler Hicks,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/chandlerhicksapcc,chandlerhicksapcc,Andrew,2021-22,div1,andrewcollege,2022
21,22,Trevor Gruskza,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/trevorgruskzaaahq,trevorgruskzaaahq,Andrew,2021-22,div1,andrewcollege,2022
22,23,Blake Falor,SS,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/blakefalor3g00,blakefalor3g00,Andrew,2021-22,div1,andrewcollege,2022
23,25,Will Sims,RHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/willsims1yse,willsims1yse,Andrew,2021-22,div1,andrewcollege,2022
24,26,Cole Baucom,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/colebaucom5gfc,colebaucom5gfc,Andrew,2021-22,div1,andrewcollege,2022
25,27,Drew Ginther,RHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/drewginther2chv,drewginther2chv,Andrew,2021-22,div1,andrewcollege,2022
26,28,Parker mirick,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/parkermirick4h70,parkermirick4h70,Andrew,2021-22,div1,andrewcollege,2022
27,29,Mitch Cowan,INF/OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/mitchcowan1t0c,mitchcowan1t0c,Andrew,2021-22,div1,andrewcollege,2022
28,30,Nolan Barr,OF/3B/P,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/nolanbarrrvrw,nolanbarrrvrw,Andrew,2021-22,div1,andrewcollege,2022
29,31,McCage Pruitt,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/mccagepruittyx8m,mccagepruittyx8m,Andrew,2021-22,div1,andrewcollege,2022
30,34,Logan Byerly,RHP,R-Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/loganbyerlybopp,loganbyerlybopp,Andrew,2021-22,div1,andrewcollege,2022
31,35,Dekel Williams,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/dekelwilliams8qly,dekelwilliams8qly,Andrew,2021-22,div1,andrewcollege,2022
32,,Eli Crawford,LHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/elicrawfordom96,elicrawfordom96,Andrew,2021-22,div1,andrewcollege,2022
33,,Isaiah Felix,C/2B,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/isaiahfelixkho5,isaiahfelixkho5,Andrew,2021-22,div1,andrewcollege,2022
