date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 20,away,Vincennes,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Feb 21,away,Vincennes,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Feb 25,home,vs. Southeastern Illinois,L,2-1,2,2,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Feb 25,home,vs. Southeastern Illinois,W,9-1,9,9,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Feb 26,home,vs. John A. Logan,L,15-2,15,15,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Feb 26,home,vs. Illinois Central,L,7-0,7,7,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Feb 27,home,vs. Illinois Central,W,14-7,14,14,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 5,home,vs. Rend Lake,W,7-6,7,7,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 6,away,Vincennes,L,11-0,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 6,home,vs. Olney Central,L,10-8,10,10,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 7,away,Southeastern Illinois,W,13-7,13,13,1,1,1,1,,,0,,,,,,,,2,1,,,,,1,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 8,home,vs. Carl Sandburg,W,7-6,7,7,0,0,0,,,,0,1,,,,,,,0,0,,,,,1,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 9,home,vs. Lake Land,L,13-11,13,13,5,1,3,1,1,,1,,,,,,,,6,2,,2,,,5,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 10,home,vs. Lincoln Trail,W,12-7,12,12,4,0,0,,,,1,,,,,2,,,0,0,,,1,,6,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 13,home,Lake County,W,9-6,9,9,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 13,home,Lake County,W,11-10,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 14,home,Moraine Valley,W,6-5,6,6,0,1,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 14,home,Moraine Valley,W,10-2,10,10,3,1,1,1,0,0,1,0,0,0,0,0,0,1,2,1,,0,,,4,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 17,home,Prairie State,W,11-1,11,11,0,2,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 20,home,Carl Sandburg,W,12-3,12,12,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 20,home,Carl Sandburg,W,8-6,8,8,4,1,2,,,,0,,1,1,,,,,2,0,,1,,,4,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 21,home,Sauk Valley,W,11-1,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 21,home,Sauk Valley,W,18-1,18,18,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 22,home,McHenry County,W,11-7,11,11,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 26,home,DuPage,W,9-5,9,9,3,1,1,,,,0,,2,,,,,1,1,0,,1,,,4,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 30,away,Joliet,W,6-4,6,6,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Mar 31,away,Prairie State,W,16-6,16,16,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 1,away,Rock Valley,W,13-3,13,13,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 2,home,Black Hawk-Moline,L,19-14,19,19,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 2,home,Black Hawk-Moline,L,8-2,8,8,3,0,1,1,,,1,,,,,,,1,2,1,,1,1,1.00,4,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 3,away,Kankakee,L,12-9,12,12,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 7,home,Roosevelt JV,W,21-5,21,21,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 9,home,Morton,W,14-1,14,14,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 11,home,Madison,L,7-2,7,7,2,0,0,,,,0,1,1,1,,,,,0,0,,,,,3,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 11,home,Madison,L,5-3,5,5,4,0,0,,,,0,,,,,,,,0,0,,2,,,4,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 12,home,Triton,W,25-1,25,25,3,2,0,,,,0,1,,1,,1,,,0,0,,1,1,1.00,5,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 13,home,Parkland,W,11-10,11,11,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 15,home,Waubonsee,W,8-3,8,8,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 17,away,Triton,L,6-3,6,6,5,1,1,1,,,0,,1,,,,,,2,1,,3,,,5,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 18,home,Illinois Valley,W,11-0,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
Apr 18,home,Illinois Valley,W,10-0,10,10,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,South Suburban,southsuburbancollege,jorgesantosw7gi,Jorge Santos
