date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 6,away,Clarendon,W,10-2,10,10,4,1,1,,,,0,,2,2,,,,,1,0,,,,,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 6,away,Clarendon,W,11-1,11,11,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 7,away,Clarendon,L,20-5,20,20,2,0,0,,,,0,,2,,,,,,0,0,,,1,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 11,away,Dodge City,L,4-3,4,4,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 11,away,Dodge City,L,5-1,5,5,3,1,1,,1,,0,,1,,,,,,3,1,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 12,home,vs. McCook,L,10-0,10,10,2,0,2,1,,,0,,,,,,,,3,1,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 19,away,Eastern Oklahoma State,L,12-2,12,12,3,0,0,,,,0,,3,,,,,,0,0,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 19,away,Eastern Oklahoma State,L,10-4,10,10,3,1,1,,,,0,,2,1,,,,,1,0,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 20,away,Eastern Oklahoma State,L,4-1,4,4,2,0,0,,,,0,,1,1,,,,,0,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 20,away,Eastern Oklahoma State,L,14-3,14,14,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 26,home,John Wood,L,7-5,7,7,3,0,1,1,,,0,,1,,,,,,2,1,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Feb 26,home,vs. State Fair,W,8-4,8,8,3,0,0,,,,0,,1,,,,,,0,0,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 1,home,Cloud County,L,17-6,17,17,1,1,1,,,,1,,,,1,1,,,1,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 1,home,Cloud County,L,18-4,18,18,1,0,0,,,,0,1,1,,,,,,0,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 3,away,Pratt,L,10-0,10,10,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 3,away,Pratt,W,11-7,11,11,5,3,3,,,2,4,,1,,,,,,9,2,,,,,5,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 5,home,Pratt,L,4-1,4,4,3,1,1,,,1,1,,1,,,,,,4,1,,1,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 5,home,Pratt,L,16-11,16,16,5,1,3,,,,0,,1,1,1,,,,3,0,,,,,5,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 13,away,Allen County,L,13-8,13,13,3,1,0,,,,0,1,3,,,,,,0,0,,,,,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 13,away,Allen County,L,16-3,16,16,3,0,1,1,,,0,,,,,,,,2,1,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 14,away,Allen County,L,11-0,11,11,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 14,away,Allen County,L,24-0,24,24,2,0,0,,,,0,,,,,,,,0,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 19,away,Coffeyville,L,9-7,9,9,4,0,0,,,,0,,1,,,,,,0,0,,2,1,2.00,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 19,away,Coffeyville,L,13-3,13,13,4,0,1,,,,0,,1,,,,,,1,0,,1,1,1.00,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 20,away,Coffeyville,L,25-1,25,25,2,0,1,,,,0,,1,1,,,,,1,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 20,away,Coffeyville,L,9-3,9,9,3,0,0,,,,0,1,2,1,1,,,,0,0,,,1,,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 25,away,Neosho County,L,8-2,8,8,2,1,0,,,,0,1,,1,,,,,0,0,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 25,away,Neosho County,L,6-5,6,6,4,0,3,,,,1,,1,,,,,,3,0,,,,,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 26,home,Neosho County,W,10-0,10,10,3,1,1,1,,,0,,1,,,,,,2,1,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 26,home,Neosho County,L,14-13,14,14,4,2,1,,,1,1,,2,,,1,,,4,1,,,,,5,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 29,away,Benedictine College JV,L,12-6,12,12,3,0,0,,,,0,,1,,,,,,0,0,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 31,home,Fort Scott,L,14-3,14,14,3,0,0,,,,0,,1,,,,,,0,0,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Mar 31,home,Fort Scott,L,26-5,26,26,2,1,1,,,,0,,,,,,,,1,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 2,away,Fort Scott,L,24-14,24,24,4,1,2,1,,,2,,1,,,,,,3,1,,,,,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 2,away,Fort Scott,L,14-2,14,14,2,0,0,,,,0,,,,,,,,0,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 9,home,Johnson County,L,10-0,10,10,2,0,0,,,,0,,,,,,,,0,0,,,,,2,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 9,home,Johnson County,L,18-4,18,18,3,0,0,,,,1,,,,,,,,0,0,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 10,away,Johnson County,L,10-4,10,10,4,1,2,,,,0,,2,1,1,,,,2,0,,,,,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 10,away,Johnson County,L,20-10,20,20,3,1,2,,1,,0,1,,,,,,,4,1,,,,,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 16,home,Hesston,L,13-6,13,13,3,1,1,,,,0,,1,,,,,,1,0,,,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 16,home,Hesston,W,14-12,14,14,4,2,3,,1,1,2,,1,,1,,,,8,2,,,,,4,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 21,away,Cowley,L,3-1,3,3,3,0,1,,,,1,,1,,1,,,,1,0,,,1,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
Apr 21,away,Cowley,L,11-1,11,11,3,0,0,,,,0,,1,,,,,,0,0,,2,,,3,2022,2021-22,div1,Highland (KS),highlandcommunitycollegekansas,ivanmedinau6n2,Ivan Medina
