date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 30,home,vs. Darton State,W,9-8,9,9,4,1,1,,,1,3,,1,,,,,,4,1,,,,,4,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Jan 30,home,vs. Gordon State,L,5-0,5,5,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Jan 31,home,vs. Gordon State,L,9-8,9,9,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Jan 31,home,vs. Darton State,L,8-1,8,8,3,0,0,,,,0,,,,,,,,0,0,,,,,3,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 3,away,Florida State Jacksonville,W,7-6,7,7,5,0,1,,,,1,,,1,,,,,1,0,1,,,,5,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 6,home,Gordon State,W,4-1,4,4,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 7,home,Gordon State,W,10-2,10,10,1,0,0,,,,2,1,,,,,2,1,0,0,,,,,5,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 9,away,South Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 10,home,South Georgia State,W,6-2,6,6,4,2,1,1,,,1,,,,,,,,2,1,,,,,4,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 11,away,Santa Fe,L,14-4,14,14,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 13,home,Shelton State,W,8-4,8,8,5,0,2,1,,,0,,,,,,,,3,1,,,,,5,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 14,home,Shelton State,W,3-2,3,3,4,0,0,,,,0,,3,,,,,,0,0,,,,,4,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 15,home,Shelton State,W,9-0,9,9,3,1,1,,,,0,,2,,,1,,,1,0,,,,,4,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 17,away,South Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
Feb 18,home,Florida State Jacksonville,W,9-7,9,9,2,1,0,,,,1,3,,,1,,,,0,0,1,,,,5,2015,2014-15,div1,Tallahassee,tallahasseecommunitycollege,zachfeatherstonetcfd,Zach Featherstone
