date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 6  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Sep 7  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Sep 12  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Sep 13  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Sep 19  #,home,Rocky Mountain High School,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Sep 26  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Sep 27  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Oct 3  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Oct 4  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Oct 10  #,home,Inter-squad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Oct 11  #,home,Inter-squad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Oct 17  #,home,Intersquad,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Feb 20,away,Barton,L,9-1,9,9,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Feb 20,away,Barton,L,11-10,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Feb 21,away,Barton,L,14-4,14,14,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Feb 21,away,Barton,L,6-4,6,6,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 1,home,Miles,L,13-11,13,13,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 1,home,Miles,L,11-1,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 2,home,Miles,W,13-6,13,13,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 2,home,Miles,W,12-4,12,12,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 6,away,Otero,W,13-6,13,13,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 6,away,Otero,W,9-2,9,9,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 7,away,Otero,W,7-5,7,7,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 7,away,Otero,L,8-6,8,8,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 9,home,Miles,L,15-8,15,15,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 9,home,Miles,L,14-0,14,14,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 13,away,Miles,W,12-3,12,12,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 13,away,Miles,W,4-3,4,4,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 14,away,Miles,W,7-2,7,7,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 14,away,Miles,L,8-0,8,8,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 20,home,vs. Luna,L,9-8,9,9,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 20,home,vs. Luna,W,12-10,12,12,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 21,home,vs. Luna,W,19-4,19,19,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 21,home,vs. Luna,W,11-0,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 24,home,Northeastern,L,14-2,14,14,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 27,home,Trinidad State,W,10-8,10,10,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 27,home,Trinidad State,W,11-1,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 28,home,Trinidad State,L,15-13,15,15,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Mar 28,home,Trinidad State,L,11-10,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 2,away,Lamar,L,19-16,19,19,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 2,away,Lamar,L,6-2,6,6,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 3,away,Lamar,L,23-4,23,23,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 3,away,Lamar,W,7-4,7,7,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 10,home,McCook,L,13-12,13,13,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 10,home,McCook,L,10-6,10,10,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 11,home,McCook,W,11-1,11,11,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 13,home,Northeastern,W,7-0,7,7,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 13,home,Northeastern,W,13-3,13,13,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 18,away,Northeastern,W,19-13,19,19,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 18,away,Northeastern,L,9-3,9,9,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 22,away,Southeast,L,9-5,9,9,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 22,away,Southeast,W,5-4,5,5,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 24,home,Southeast,L,8-5,8,8,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
Apr 24,home,Southeast,L,15-11,15,15,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div1,Western Nebraska,westernnebraskacommunitycollege,cadeneymannc1x1,Caden Eymann
