school_name,njcaa_season,division,team_id,season
Abraham Baldwin,2012-13,div1,abrahambaldwinagriculturalcollege,2013
Coastal Alabama - Monroeville,2012-13,div1,alabamasoutherncommunitycollege,2013
Allen County,2012-13,div1,allencountycommunitycollege,2013
Alvin,2012-13,div1,alvincommunitycollege,2013
Andrew,2012-13,div1,andrewcollege,2013
Angelina,2012-13,div1,angelinacollege,2013
Arizona Western,2012-13,div1,arizonawesterncollege,2013
Arkansas Baptist,2012-13,div1,arkansasbaptistcollege,2013
ASA New York,2012-13,div1,asabrooklynavengers,2013
Barton,2012-13,div1,bartoncommunitycollege,2013
Baton Rouge,2012-13,div1,batonrougecommunitycollege,2013
Bishop State,2012-13,div1,bishopstatecommunitycollege,2013
Blinn,2012-13,div1,blinncollege,2013
Bossier Parish,2012-13,div1,bossierparishcommunitycollege,2013
Eastern Florida State,2012-13,div1,brevardcommunitycollege,2013
Broward,2012-13,div1,browardcollege,2013
Butler,2012-13,div1,butlercommunitycollegeks,2013
Calhoun,2012-13,div1,calhouncommunitycollege,2013
Central Alabama,2012-13,div1,centralalabamacommunitycollege,2013
Central Arizona,2012-13,div1,centralarizonacollege,2013
Chattahoochee Valley,2012-13,div1,chattahoocheevalleycommunitycollege,2013
Chattanooga State,2012-13,div1,chattanoogastatecommunitycollege,2013
Chesapeake,2012-13,div1,chesapeakecollege,2013
Chipola,2012-13,div1,chipolacollege,2013
Cisco,2012-13,div1,ciscocollege,2013
Clarendon,2012-13,div1,clarendoncollege,2013
Cleveland State,2012-13,div1,clevelandstatecommunitycollege,2013
Cloud County,2012-13,div1,cloudcountycommunitycollege,2013
Cochise,2012-13,div1,cochisecollege,2013
Coffeyville,2012-13,div1,coffeyvillecommunitycollege,2013
Colby,2012-13,div1,colbycommunitycollege,2013
Central Florida,2012-13,div1,collegeofcentralflorida,2013
Southern Idaho,2012-13,div1,collegeofsouthernidaho,2013
Southern Nevada,2012-13,div1,collegeofsouthernnevada,2013
Colorado Northwestern,2012-13,div1,coloradonorthwesterncommunitycollege,2013
Columbia State,2012-13,div1,columbiastatecommunitycollege,2013
Connors State,2012-13,div1,connorsstatecollege,2013
Cowley,2012-13,div1,cowleycountycommunitycollege,2013
Crowder,2012-13,div1,crowdercollege,2013
Darton State,2012-13,div1,dartoncollege,2013
Daytona State,2012-13,div1,daytonastatecollege,2013
Delgado,2012-13,div1,delgadocommunitycollege,2013
Dodge City,2012-13,div1,dodgecitycommunitycollege,2013
Dyersburg State,2012-13,div1,dyersburgstatecommunitycollege,2013
Eastern Arizona,2012-13,div1,easternarizonacollege,2013
Eastern Oklahoma State,2012-13,div1,easternoklahomastatecollege,2013
East Georgia State,2012-13,div1,eastgeorgiacollege,2013
El Paso,2012-13,div1,elpasocommunitycollege,2013
Enterprise State,2012-13,div1,enterprisestatecommunitycollege,2013
