date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 6,home,LeTourneau,W,6-0,6,0,6,win,20230206_7n4e,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div3,Dallas College - Eastfield,dallascollegeeastfield,bryanadamspb0q,Bryan Adams
Feb 10,home,DFW Post Grad,W,3-1,3,1,2,win,20230210_3gdd,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div3,Dallas College - Eastfield,dallascollegeeastfield,bryanadamspb0q,Bryan Adams
Feb 25,home,Dallas College - Mountain View,W,21-2,21,2,19,win,20230225_rcvn,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2023,2022-23,div3,Dallas College - Eastfield,dallascollegeeastfield,bryanadamspb0q,Bryan Adams
