date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 14,home,Odessa,W,25-12,25,12,13.0,win,20180214_ued8,0,0,0,,,,0,,,,,13.0,win,20180214_ued8,,,,0,0,,,,,0,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Feb 17,home,Colby,W,15-4,15,4,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Feb 17,home,Colby,W,10-2,10,2,8.0,win,,,,,,,,,,,,,8.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Feb 18,home,Seward County,L,16-12,16,12,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Feb 18,home,Seward County,W,17-6,17,6,11.0,win,,,,,,,,,,,,,11.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Feb 23,home,Weatherford,L,5-2,5,2,3.0,win,20180223_h7ts,0,0,0,,,,0,,,,,3.0,win,20180223_h7ts,,,,0,0,,,,,0,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Feb 24,home,Weatherford,W,8-7,8,7,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Feb 24,home,Weatherford,W,18-17,18,17,1.0,win,,,,,,,,,,,,,1.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Mar 9,home,Howard (TX),W,13-9,13,9,4.0,win,,,,,,,,,,,,,4.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Mar 9,home,Howard (TX),W,14-12,14,12,2.0,win,,,,,,,,,,,,,2.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Mar 21,home,Howard (TX),W,13-9,13,9,4.0,win,20180321_xjae,0,0,0,,,,0,,,,,4.0,win,20180321_xjae,,,,0,0,,,,,0,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Mar 29,home,New Mexico,W,7-2,7,2,5.0,win,,,,,,,,,,,,,5.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Mar 29,home,New Mexico,W,9-3,9,3,6.0,win,,,,,,,,,,,,,6.0,win,,,,,,,,,,,,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
Apr 4,home,New Mexico,L,26-15,26,15,11.0,win,20180404_zsuo,0,0,0,,,,0,,,,,11.0,win,20180404_zsuo,,,,0,0,,,,,0,2018,2017-18,div1,Midland,midlandcollege,cadenfoster6nxz,Caden Foster
