date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 24,away,Eastern Florida State,W,8-2,8,8,4,2,3,1,,,0,,1,1,,,,,4,1,,,,,4,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Jan 25,home,Eastern Florida State,W,3-2,3,3,3,2,1,1,,,0,,2,,,1,,,2,1,,,,,4,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Jan 28,home,Ed Waters,W,12-1,12,12,3,2,2,,,,0,1,,,,1,,,2,0,,,,,5,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Jan 30,away,Abraham Baldwin,W,5-3,5,5,4,1,1,,,,0,,,,,,,,1,0,,,,,4,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Jan 30,away,Abraham Baldwin,W,5-1,5,5,5,0,2,,,,0,,,1,,,,,2,0,,,,,5,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Feb 2,home,Abraham Baldwin,W,9-1,9,9,3,2,2,,,,2,,1,,,1,,,2,0,,,,,4,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Feb 2,home,Abraham Baldwin,W,11-2,11,11,2,1,1,,,,0,1,,,,,,,1,0,,,,,3,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Feb 4,home,Ed Waters,W,25-2,25,25,1,2,1,,,,0,1,,1,,,,,1,0,,,,,2,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Feb 7,home,vs. Gordon State,W,7-1,7,7,3,0,0,,,,1,,2,,,1,1,,0,0,,,,,5,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
Feb 7,away,Gulf Coast State,L,5-0,5,5,3,0,0,,,,0,,2,,,,,,0,0,,,,,3,2020,2019-20,div1,St. Johns River State,stjohnsriverstatecollege,andrejamesqv4v,Andre James
