date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Jan 19  #,home,Alumni Game,,,,,,,,,,,,,,,,,,,10.0,win,,,,,,,,,,,,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Jan 25,home,Gulf Coast State,W,10-7,10,7,3,win,20190125_q59z,5,3,1,,,1,3,2,,,,3.0,win,20190125_q59z,,,,4,1,,,,,7,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Jan 26,home,Gulf Coast State,W,6-1,6,1,5,win,20190126_8bz8,4,2,2,,,,0,,1,1,,5.0,win,20190126_8bz8,,,,2,0,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Feb 1,home,Santa Fe,W,5-2,5,2,3,win,20190201_d4nz,4,0,0,,,,0,,1,,,3.0,win,20190201_d4nz,,,,0,0,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Feb 2,home,Miami Dade,L,3-1,3,1,2,win,20190202_qy3a,4,0,0,,,,0,,,,,2.0,win,20190202_qy3a,,,,0,0,1,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Feb 6,home,Central Florida,L,10-4,10,4,6,win,20190206_kvs5,3,1,1,,,,0,2,1,1,,6.0,win,20190206_kvs5,,,,1,0,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Feb 7,home,Broward,W,10-1,10,1,9,win,20190207_wvqd,4,3,2,1,,,0,1,,1,,9.0,win,20190207_wvqd,,,,3,1,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Feb 9,home,University of Tampa - JV,W,7-0,7,0,7,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Feb 12,home,Eastern Florida State,W,5-4,5,4,1,win,20190212_ndhm,4,0,0,,,,0,,1,,,1.0,win,20190212_ndhm,,,,0,0,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Feb 15,home,Tallahassee,W,9-2,9,2,7,win,20190215_v03n,3,2,1,,1,,1,2,,,,7.0,win,20190215_v03n,,,,3,1,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Feb 16,home,Tallahassee,W,9-3,9,3,6,win,20190216_a1jf,4,2,1,,,,0,1,2,2,,6.0,win,20190216_a1jf,,,,1,0,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 1,home,Pasco-Hernando State,W,6-0,6,0,6,win,20190301_nzjl,4,1,2,1,,1,1,,1,,,6.0,win,20190301_nzjl,1,,,6,2,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 4,home,Florida SouthWestern State,L,9-1,9,1,8,win,20190304_w0w0,4,0,0,,,,0,1,2,,,8.0,win,20190304_w0w0,,,,0,0,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 8,home,Florida SouthWestern State,L,9-3,9,3,6,win,20190308_1h9l,6,1,2,1,,,0,,1,,,6.0,win,20190308_1h9l,,,,3,1,,,,,6,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 9,home,Polk State,W,4-2,4,2,2,win,20190309_a7ao,3,1,1,,,,0,,1,,,2.0,win,20190309_a7ao,1,,,1,0,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 13,home,Polk State,W,10-0,10,0,10,win,20190313_pg1r,4,1,2,,,,1,,,1,,10.0,win,20190313_pg1r,,,,2,0,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 16,home,South Florida State,W,6-2,6,2,4,win,20190316_7j82,4,1,2,,1,,1,,,,,4.0,win,20190316_7j82,,,,4,1,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 20,home,St. Petersburg,L,10-3,10,3,7,win,20190320_yd6v,4,0,1,,,,0,1,,,,7.0,win,20190320_yd6v,,,,1,0,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 23,home,St. Petersburg,W,4-3,4,3,1,win,20190323_18bc,3,1,2,,,,0,1,,,,1.0,win,20190323_18bc,,,,2,0,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Mar 27,home,Hillsborough,W,5-2,5,2,3,win,20190327_rw2t,3,0,0,,,,0,,2,1,1,3.0,win,20190327_rw2t,1,,1,0,0,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Apr 8,home,Florida SouthWestern State,W,2-1,2,1,1,win,20190408_lxwb,4,2,2,2,,,0,2,,1,,1.0,win,20190408_lxwb,,,,4,2,,,,,6,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Apr 13,home,Polk State,L,11-10,11,10,1,win,20190413_63wd,4,0,2,1,,,1,,,,,1.0,win,20190413_63wd,,,,3,1,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Apr 17,home,South Florida State,W,8-1,8,1,7,win,,,,,,,,,,,,,7.0,win,,,,,,,,,,,,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Apr 20,home,South Florida State,W,7-3,7,3,4,win,20190420_bh98,4,0,2,,,,0,1,1,,,4.0,win,20190420_bh98,,,,2,0,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Apr 24,home,St. Petersburg,W,9-7,9,7,2,win,20190424_sh11,4,2,2,,,1,2,,,,1,2.0,win,20190424_sh11,,,,5,1,,,,,4,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
Apr 27,home,Hillsborough,W,2-1,2,1,1,win,20190427_csp5,5,2,4,1,,,0,,1,,,1.0,win,20190427_csp5,,,,5,1,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
May 1,home,Hillsborough,L,7-0,7,0,7,win,20190501_p4hj,4,0,1,,,,0,1,,,,7.0,win,20190501_p4hj,,,,1,0,,,,,5,2019,2018-19,div1,State College of Florida,statecollegeoffloridamanateesaraso,shaneshifflettp67v,Shane Shifflett
