date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 2,home,Marshalltown,W,5-3,5,3,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 2,home,Marshalltown,W,30-13,30,13,17.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 3,home,Marshalltown,W,5-3,5,3,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 3,home,Marshalltown,W,20-10,20,10,10.0,win,20210403_9k2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 6,home,Ellsworth,L,7-3,7,3,4.0,win,20210406_dgrb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 6,home,Ellsworth,W,13-5,13,5,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 10,home,Kirkwood,L,13-5,13,5,8.0,win,20210410_5h6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 10,home,Kirkwood,L,18-7,18,7,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 11,home,Kirkwood,W,1-0,1,0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 11,home,Kirkwood,W,10-8,10,8,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 14,home,Iowa Central,L,9-3,9,3,6.0,win,20210414_hvx7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 14,home,Iowa Central,W,12-8,12,8,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 17,home,Iowa Lakes,W,9-0,9,0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 17,home,Iowa Lakes,W,6-2,6,2,4.0,win,20210417_2ih5,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 18,home,Iowa Lakes,W,11-1,11,1,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 18,home,Iowa Lakes,W,4-3,4,3,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 21,home,Iowa Central,L,2-1,2,1,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 21,home,Iowa Central,W,16-6,16,6,10.0,win,20210421_lb1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 24,home,Indian Hills,W,3-2,3,2,1.0,win,20210424_31g5,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 24,home,Indian Hills,L,15-3,15,3,12.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 25,home,Indian Hills,L,2-0,2,0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 25,home,Indian Hills,L,8-6,8,6,2.0,win,20210425_whm8,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 28,home,Des Moines Area,W,6-5,6,5,1.0,win,20210428_rmzj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
Apr 28,home,Des Moines Area,W,11-4,11,4,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 1,home,Southeastern,W,11-10,11,10,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 1,home,Southeastern,L,24-0,24,0,24.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 2,home,Southeastern,W,8-3,8,3,5.0,win,20210502_bi7h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 2,home,Southeastern,W,16-6,16,6,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 5,home,Des Moines Area,W,3-1,3,1,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 5,home,Des Moines Area,W,10-6,10,6,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 8,home,Ellsworth,W,3-2,3,2,1.0,win,20210508_s0my,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 9,home,Ellsworth,W,11-3,11,3,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 14,home,Iowa Central,L,4-3,4,3,1.0,win,20210514_mknj,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 15,home,Des Moines Area,W,6-0,6,0,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
May 15,home,Kirkwood,L,10-2,10,2,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div2,Northeast,northeastcommunitycollege,dylanrodgerslp0y,Dylan Rodgers
