date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 31,home,Colby,L,13-8,13,8,5,win,20220331_mwte,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 2,home,Colby,L,4-1,4,1,3,win,20220402_22w8,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 2,home,Colby,W,10-1,10,1,9,win,20220402_f697,3,1,1,,,,0,2,1,2,,,,,1,0,,1,,,5,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 5,home,Otero,W,17-5,17,5,12,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 5,home,Otero,L,14-12,14,12,2,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 7,home,Pratt,W,16-8,16,8,8,win,20220407_zlhu,3,2,1,,,,0,2,1,1,,,,,1,0,,,,,5,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 7,home,Pratt,W,22-15,22,15,7,win,20220407_n9dp,6,2,3,1,,,3,,2,1,,1,,,4,1,,,,,7,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 9,home,Pratt,L,9-4,9,4,5,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 9,home,Pratt,W,25-14,25,14,11,win,20220409_gu78,4,3,3,,,3,8,1,1,,,,,,12,3,,,,,5,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 11,home,Northwestern Oklahoma State JV,L,5-3,5,3,2,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 11,home,Northwestern Oklahoma State JV,W,14-6,14,6,8,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 19,home,Otero,W,18-14,18,14,4,win,20220419_dg86,3,2,1,1,,,0,,1,,,1,,,2,1,,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 19,home,Otero,W,15-11,15,11,4,win,20220419_nrsi,4,2,2,1,,1,2,,,,,,,,6,2,,,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 21,home,Butler,W,5-3,5,3,2,win,20220421_yubq,3,0,0,,,,0,,,,,,,,0,0,1,,,,3,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 21,home,Butler,L,11-8,11,8,3,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 22,home,Butler,W,10-8,10,8,2,win,20220422_ni91,0,0,0,,,,0,,,,,,,,0,0,,,,,0,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 22,home,Butler,L,16-15,16,15,1,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 28,home,Garden City,L,7-6,7,6,1,win,20220428_05tc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,,1,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 28,home,Garden City,W,11-7,11,7,4,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 30,home,Garden City,W,1-0,1,0,1,win,20220430_xd3o,1,0,0,,,,0,1,1,,,,,,0,0,,,,,2,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
Apr 30,home,Garden City,W,4-1,4,1,3,win,,,,,,,,,,,,,,,,,,,,,,,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
May 6,home,Hutchinson,L,11-9,11,9,2,win,20220506_05ra,0,0,0,,,,0,1,,,,,,,0,0,,,,,1,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
May 6,home,Hutchinson,L,17-8,17,8,9,win,20220506_shk0,4,0,1,,,,0,,,,,,,,1,0,,3,,,4,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
May 7,home,Hutchinson,L,11-8,11,8,3,win,20220507_n7zo,2,1,1,,,,1,,,,,,1,,1,0,,1,1,1.00,3,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
May 7,home,Hutchinson,L,13-2,13,2,11,win,20220507_gbwz,1,0,0,,,,0,,,,,,,,0,0,,1,,,1,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
May 11,home,Johnson County,L,14-7,14,7,7,win,20220511_gwlk,0,0,0,,,,0,2,,,,,,,0,0,,,,,2,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
May 12,home,Johnson County,L,7-6,7,6,1,win,20220512_xj6a,4,1,1,,,1,2,,2,,,1,,,4,1,,,,,5,2022,2021-22,div1,Dodge City,dodgecitycommunitycollege,carsonwright7fqg,Carson Wright
