date,location,opponent,result,score,team_score,opp_score,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Sep 24  #,home,vs. Three Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 6,away,Wallace State,L,6-5,6,6,4,0,0,,,,0,,1,,,,,,0,0,,,,,4,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 6,away,Wallace State,T,6-6,6,6,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 9,away,Northwest Mississippi,L,6-4,6,6,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 9,away,Northwest Mississippi,W,10-4,10,10,2,0,0,,,,0,,2,1,,,,,0,0,,,,,2,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 13,home,Snead State,W,19-9,19,19,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 13,home,Snead State,W,6-2,6,6,3,0,0,,,,0,,1,,,,,,0,0,,,,,3,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 16,home,vs. Wallace-Dothan,L,4-2,4,4,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 17,home,vs. Gordon State,W,8-7,8,8,0,0,0,,,,0,,,,,,,2,0,0,,,,,2,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 17,away,Chipola,L,3-1,3,3,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 18,away,Chipola,W,12-8,12,12,,,,,,,,,,,,,,,,,,,,,,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 20,home,Itawamba,L,11-5,11,11,2,0,0,,,,0,,1,,,,,,0,0,,,,,2,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 20,home,Itawamba,L,3-2,3,3,2,0,1,,,,0,,,2,,,,,1,0,,,,,2,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
Feb 23,home,Motlow State,W,7-5,7,7,1,0,0,,,,0,,1,,,,,,0,0,,,,,1,2018,2017-18,div1,Columbia State,columbiastatecommunitycollege,dacodastone5occ,Dacoda Stone
