date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 23,home,Dallas College - Eastfield,L,6-1,6,1,5,win,20190323_woxd,4,1,1,1,,,0,,3,,,1,,,2,1,,,,,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Mar 25,home,Jarvis Christian College J.V.,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Mar 25,home,Jarvis Christian College J.V.,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Mar 25,home,Jarvis Christian College J.V.,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Mar 25,home,Jarvis Christian College J.V.,,,,,5,win,,,,,,,,,,,,,,,,,,,,,,,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Mar 27,home,Dallas College - Brookhaven,W,10-4,10,4,6,win,20190327_bflq,6,2,2,,,,0,,1,,,,,,2,0,,,1,,6,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Mar 28,home,Dallas College - Brookhaven,L,21-9,21,9,12,win,20190328_tyn9,4,2,2,,,,1,1,1,,,,,,2,0,,,,,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Mar 29,home,Dallas College - Brookhaven,L,12-4,12,4,8,win,20190329_lgxo,5,1,2,,,,0,,,,,,,,2,0,,,2,,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Apr 3,home,Dallas College - Richland,L,11-10,11,10,1,win,20190403_fdpr,4,3,2,2,,,2,2,1,,,,,,4,2,,1,,,6,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
Apr 5,home,Dallas College - Richland,W,10-8,10,8,2,win,20190405_iqrg,5,1,3,,,1,4,,,,,,,,6,1,,1,1,1.00,5,2019,2018-19,div3,Dallas College - Cedar Valley,cedarvalleycollege,chandlerboydxcik,Chandler Boyd
