date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 15,home,Milligan College  JV,L,7-6,7,6,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 18,home,Southeastern-Whiteville,W,7-0,7,0,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 18,home,Southeastern-Whiteville,W,5-0,5,0,5.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 19,home,Southeastern-Whiteville,W,9-0,9,0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 22,home,Alice  Lloyd College JV,L,9-0,9,0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 22,home,Alice Lloyd College JV,L,8-1,8,1,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 22,home,Alice Lloyd College JV,L,7-0,7,0,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 23,home,Bluefield State College JV,L,9-0,9,0,9.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 23,home,Bluefield State College JV,L,7-0,7,0,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 25,home,Patrick & Henry,L,12-0,12,0,12.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 25,home,Patrick & Henry,L,11-1,11,1,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 26,home,Patrick & Henry,L,11-0,11,0,11.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 29,home,Danville,L,6-3,6,3,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 29,home,Danville,L,10-0,10,0,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 30,home,Bluefield State College JV,L,7-0,7,0,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
Apr 30,home,Bluefield State College JV,W,6-2,6,2,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
May 2,home,Surry,L,8-2,8,2,6.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
May 2,home,Surry,L,13-12,13,12,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
May 3,home,Surry,L,4-2,4,2,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2015,2014-15,div2,New River,newrivercommunitycollege,hudsonchase3umg,Hudson Chase
